Unnamed: 0,address_subdivision,address_locality,address_line_2,h_id,price_per_m2,land_area,price,longitude,latitude,near_Koh_Pich_in_km,Koh_Pich_nearest,Koh_Pich_1_2km,Koh_Pich_2_3km,Koh_Pich_3_5km,Koh_Pich_5_10km,near_Russian_Market_in_km,Russian_Market_nearest,Russian_Market_1_2km,Russian_Market_2_3km,Russian_Market_3_5km,Russian_Market_5_10km,near_AEON_Mall_1_in_km,AEON_Mall_1_nearest,AEON_Mall_1_1_2km,AEON_Mall_1_2_3km,AEON_Mall_1_3_5km,AEON_Mall_1_5_10km,near_AEON_Mall_2_in_km,AEON_Mall_2_nearest,AEON_Mall_2_1_2km,AEON_Mall_2_2_3km,AEON_Mall_2_3_5km,AEON_Mall_2_5_10km,near_AEON_Mall_3_in_km,AEON_Mall_3_nearest,AEON_Mall_3_1_2km,AEON_Mall_3_2_3km,AEON_Mall_3_3_5km,AEON_Mall_3_5_10km,near_Bassac_Lane_in_km,Bassac_Lane_nearest,Bassac_Lane_1_2km,Bassac_Lane_2_3km,Bassac_Lane_3_5km,Bassac_Lane_5_10km,near_Koh_Norea_in_km,Koh_Norea_nearest,Koh_Norea_1_2km,Koh_Norea_2_3km,Koh_Norea_3_5km,Koh_Norea_5_10km,near_Camko_City_in_km,Camko_City_nearest,Camko_City_1_2km,Camko_City_2_3km,Camko_City_3_5km,Camko_City_5_10km,near_Olympic_Stadium_in_km,Olympic_Stadium_nearest,Olympic_Stadium_1_2km,Olympic_Stadium_2_3km,Olympic_Stadium_3_5km,Olympic_Stadium_5_10km,near_Phsar_Tmey_in_km,Phsar_Tmey_nearest,Phsar_Tmey_1_2km,Phsar_Tmey_2_3km,Phsar_Tmey_3_5km,Phsar_Tmey_5_10km,near_Boeng_Keng_Kang_1_in_km,Boeng_Keng_Kang_1_nearest,Boeng_Keng_Kang_1_1_2km,Boeng_Keng_Kang_1_2_3km,Boeng_Keng_Kang_1_3_5km,Boeng_Keng_Kang_1_5_10km,near_Wat_Phnom_in_km,Wat_Phnom_nearest,Wat_Phnom_1_2km,Wat_Phnom_2_3km,Wat_Phnom_3_5km,Wat_Phnom_5_10km,near_Chroy_Changvar_Bridge_in_km,Chroy_Changvar_Bridge_nearest,Chroy_Changvar_Bridge_1_2km,Chroy_Changvar_Bridge_2_3km,Chroy_Changvar_Bridge_3_5km,Chroy_Changvar_Bridge_5_10km,near_Vattanac_Tower_in_km,Vattanac_Tower_nearest,Vattanac_Tower_1_2km,Vattanac_Tower_2_3km,Vattanac_Tower_3_5km,Vattanac_Tower_5_10km,near_Royal_Palace_in_km,Royal_Palace_nearest,Royal_Palace_1_2km,Royal_Palace_2_3km,Royal_Palace_3_5km,Royal_Palace_5_10km,near_Sisowath_Riverside_Park_in_km,Sisowath_Riverside_Park_nearest,Sisowath_Riverside_Park_1_2km,Sisowath_Riverside_Park_2_3km,Sisowath_Riverside_Park_3_5km,Sisowath_Riverside_Park_5_10km,near_Phnom_Penh_Airport_in_km,Phnom_Penh_Airport_nearest,Phnom_Penh_Airport_1_2km,Phnom_Penh_Airport_2_3km,Phnom_Penh_Airport_3_5km,Phnom_Penh_Airport_5_10km
1630,Phnom Penh,Dangkao,Cheung Aek,8865846153fffff,1722.99,68,117163.32,104.9171201647823,11.472995564824782,9,0,0,0,0,1,7,0,0,0,0,1,8,0,0,0,0,1,14,0,0,0,0,0,1,0,1,0,0,0,8,0,0,0,0,1,8,0,0,0,0,1,13,0,0,0,0,0,9,0,0,0,0,1,10,0,0,0,0,0,8,0,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0
1631,Phnom Penh,Pur SenChey,Kakab,8865846f55fffff,424.35,86,36494.1,104.83801693062738,11.54182668098728,11,0,0,0,0,0,8,0,0,0,0,1,10,0,0,0,0,0,7,0,0,0,0,1,10,0,0,0,0,0,9,0,0,0,0,1,12,0,0,0,0,0,8,0,0,0,0,1,8,0,0,0,0,1,9,0,0,0,0,1,9,0,0,0,0,1,9,0,0,0,0,1,10,0,0,0,0,0,9,0,0,0,0,1,10,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0
1632,Phnom Penh,Chraoy Chongvar,Preaek Lieb,88658469ddfffff,2094.52,44,92158.88,104.91441083536394,11.643811791867796,10,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,1,17,0,0,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,1,9,0,0,0,0,1,8,0,0,0,0,1,10,0,0,0,0,0,7,0,0,0,0,1,6,0,0,0,0,1,7,0,0,0,0,1,9,0,0,0,0,1,8,0,0,0,0,1,13,0,0,0,0,0
1633,Phnom Penh,Chamkar Mon,Tuol Tumpung Ti Pir,8865846ac3fffff,2142.66,102,218551.32,104.91031025861658,11.541330110600809,3,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,7,0,0,0,0,1,6,0,0,0,0,1,2,0,0,1,0,0,4,0,0,0,1,0,6,0,0,0,0,1,2,0,0,1,0,0,3,0,0,0,1,0,1,0,1,0,0,0,4,0,0,0,1,0,5,0,0,0,0,1,3,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,7,0,0,0,0,1
1634,Phnom Penh,Chamkar Mon,Boeng Trabaek,8865846ac1fffff,3871.29,58,224534.82,104.916612221782,11.534092919733984,3,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,8,0,0,0,0,1,5,0,0,0,0,1,2,0,0,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,4,0,0,0,1,0,5,0,0,0,0,1,4,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,8,0,0,0,0,1
1635,Phnom Penh,Dangkao,Cheung Aek,8865846029fffff,1462.15,82,119896.3,104.90433935135874,11.45602785123656,11,0,0,0,0,0,9,0,0,0,0,1,10,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,1,0,11,0,0,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,10,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0
1636,Phnom Penh,Mean Chey,Boeng Tumpun,8865846ad1fffff,3466.18,92,318888.56,104.8971669309429,11.531200480089732,5,0,0,0,0,1,2,0,0,1,0,0,4,0,0,0,1,0,7,0,0,0,0,1,5,0,0,0,0,1,4,0,0,0,1,0,6,0,0,0,0,1,7,0,0,0,0,1,3,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,5,0,0,0,0,1,6,0,0,0,0,1,5,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,6,0,0,0,0,1
1637,Phnom Penh,Praek Pnov,Kouk Roka,8865846d5dfffff,689.94,100,68994.0,104.8204544787514,11.59960531488596,14,0,0,0,0,0,12,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0,0,1,16,0,0,0,0,0,12,0,0,0,0,0,15,0,0,0,0,0,7,0,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,1
1638,Phnom Penh,Doun Penh,Boeng Reang,8865846ae1fffff,2959.98,42,124319.16,104.92460118474403,11.55615336633988,1,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,6,0,0,0,0,1,8,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,0,5,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,1
1639,Phnom Penh,Mean Chey,Chak Angrae Leu,8865846135fffff,1673.6,36,60249.6,104.91609470086216,11.519503405374069,4,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,9,0,0,0,0,1,3,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,8,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,3,0,0,0,1,0,6,0,0,0,0,1,7,0,0,0,0,1,5,0,0,0,0,1,5,0,0,0,0,1,5,0,0,0,0,1,9,0,0,0,0,1
1640,Phnom Penh,Saensokh,Tuek Thla,8865846a9dfffff,1717.2,100,171720.0,104.88836506572189,11.549054308830272,5,0,0,0,0,1,2,0,0,1,0,0,4,0,0,0,1,0,5,0,0,0,0,1,7,0,0,0,0,1,4,0,0,0,1,0,7,0,0,0,0,1,5,0,0,0,0,1,2,0,0,1,0,0,3,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,5,0,0,0,0,1,4,0,0,0,1,0,4,0,0,0,1,0,5,0,0,0,0,1,5,0,0,0,0,1
1641,Phnom Penh,Chamkar Mon,Boeng Trabaek,8865846ac5fffff,1256.1,96,120585.6,104.92459853362604,11.544592782825427,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,6,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,0,6,0,0,0,0,1,2,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,2,0,0,1,0,0,2,0,0,1,0,0,9,0,0,0,0,1
1642,Phnom Penh,Saensokh,Tuek Thla,8865846a93fffff,2058.95,52,107065.4,104.87029638045983,11.55179294326925,7,0,0,0,0,1,4,0,0,0,1,0,6,0,0,0,0,1,5,0,0,0,0,1,8,0,0,0,0,1,6,0,0,0,0,1,9,0,0,0,0,1,5,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,5,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,5,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,3,0,0,0,1,0
1643,Phnom Penh,Saensokh,Krang Thnong,8865846d61fffff,3068.55,62,190250.1,104.84289906229309,11.628403988391216,13,0,0,0,0,0,12,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,0,1,17,0,0,0,0,0,12,0,0,0,0,0,15,0,0,0,0,0,6,0,0,0,0,1,10,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,8,0,0,0,0,1
1644,Phnom Penh,Prampir Meakkakra,Ou Ruessei Ti Muoy,8865846ae3fffff,2016.74,100,201674.0,104.91730106257393,11.560509378366293,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,5,0,0,0,0,1,8,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,8,0,0,0,0,1
1645,Phnom Penh,Doun Penh,Srah Chak,8865846aa1fffff,2514.77,104,261536.08,104.90826511497116,11.577732431254834,4,0,0,0,1,0,4,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,10,0,0,0,0,0,3,0,0,0,1,0,6,0,0,0,0,1,2,0,0,1,0,0,2,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,8,0,0,0,0,1
1646,Phnom Penh,Chbar Ampov,Nirouth,8865846a0bfffff,3640.84,48,174760.32,104.96147419484498,11.541956583639628,2,0,0,1,0,0,5,0,0,0,0,1,3,0,0,0,1,0,10,0,0,0,0,0,8,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,9,0,0,0,0,1,5,0,0,0,0,1,5,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,6,0,0,0,0,1,5,0,0,0,0,1,4,0,0,0,1,0,4,0,0,0,1,0,13,0,0,0,0,0
1647,Phnom Penh,Chamkar Mon,Tuol Tumpung Ti Muoy,8865846ac3fffff,782.47,68,53207.96,104.91575357476918,11.539640799502058,3,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,7,0,0,0,0,1,6,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,1,0,6,0,0,0,0,1,2,0,0,1,0,0,3,0,0,0,1,0,1,0,1,0,0,0,4,0,0,0,1,0,5,0,0,0,0,1,3,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,8,0,0,0,0,1
1648,Phnom Penh,Tuol Kouk,Phsar Daeum Kor,8865846a87fffff,4786.16,54,258452.64,104.89635124476824,11.55808581305101,5,0,0,0,0,1,2,0,0,1,0,0,4,0,0,0,1,0,4,0,0,0,1,0,8,0,0,0,0,1,3,0,0,0,1,0,6,0,0,0,0,1,4,0,0,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,1,0,4,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,4,0,0,0,1,0,6,0,0,0,0,1
1649,Phnom Penh,Chbar Ampov,Preaek Aeng,8865847993fffff,1294.67,42,54376.14,105.0007146126759,11.533769504518284,6,0,0,0,0,1,9,0,0,0,0,1,7,0,0,0,0,1,14,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,1,5,0,0,0,0,1,13,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,1,8,0,0,0,0,1,9,0,0,0,0,1,10,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,1,8,0,0,0,0,1,17,0,0,0,0,0
1650,Phnom Penh,Mean Chey,Stueng Mean Chey,88658461a5fffff,2528.82,68,171959.76,104.87706423637393,11.528786505963913,7,0,0,0,0,1,4,0,0,0,1,0,6,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,8,0,0,0,0,1,7,0,0,0,0,1,4,0,0,0,1,0,6,0,0,0,0,1,5,0,0,0,0,1,7,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,7,0,0,0,0,1,4,0,0,0,1,0
1651,Phnom Penh,Doun Penh,Phsar Thmei Ti Muoy,8865846aadfffff,1901.78,32,60856.96,104.9193966643295,11.58044448751325,4,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,10,0,0,0,0,0,3,0,0,0,1,0,5,0,0,0,0,1,3,0,0,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,9,0,0,0,0,1
1652,Phnom Penh,Chraoy Chongvar,Kaoh Dach,88658469adfffff,188.0,44,8272.0,104.93457658756677,11.685883971220491,14,0,0,0,0,0,16,0,0,0,0,0,15,0,0,0,0,0,11,0,0,0,0,0,22,0,0,0,0,0,14,0,0,0,0,0,15,0,0,0,0,0,11,0,0,0,0,0,14,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,0,12,0,0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,18,0,0,0,0,0
1653,Phnom Penh,Saensokh,Tuek Thla,8865846f4dfffff,2673.77,120,320852.4,104.86751938201938,11.546624245293296,8,0,0,0,0,1,5,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,8,0,0,0,0,1,6,0,0,0,0,1,9,0,0,0,0,1,5,0,0,0,0,1,4,0,0,0,1,0,6,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,7,0,0,0,0,1,3,0,0,0,1,0
1654,Phnom Penh,Saensokh,Krang Thnong,8865846f35fffff,557.41,44,24526.04,104.82777393689553,11.589266466841227,13,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,0,1,15,0,0,0,0,0,11,0,0,0,0,0,14,0,0,0,0,0,6,0,0,0,0,1,9,0,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,1,9,0,0,0,0,1,11,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,1,0
1655,Phnom Penh,Chbar Ampov,Kbal Kaoh,8865847993fffff,1403.92,36,50541.12,104.9970022024393,11.536212395098946,6,0,0,0,0,1,9,0,0,0,0,1,7,0,0,0,0,1,14,0,0,0,0,0,10,0,0,0,0,0,7,0,0,0,0,1,4,0,0,0,1,0,13,0,0,0,0,0,9,0,0,0,0,1,9,0,0,0,0,1,8,0,0,0,0,1,9,0,0,0,0,1,10,0,0,0,0,0,9,0,0,0,0,1,8,0,0,0,0,1,8,0,0,0,0,1,17,0,0,0,0,0
1656,Phnom Penh,Dangkao,Cheung Aek,88658461cdfffff,1033.04,102,105370.08,104.89532417487432,11.482423252832564,9,0,0,0,0,1,6,0,0,0,0,1,8,0,0,0,0,1,13,0,0,0,0,0,2,0,0,1,0,0,8,0,0,0,0,1,9,0,0,0,0,1,12,0,0,0,0,0,8,0,0,0,0,1,10,0,0,0,0,0,8,0,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,1,10,0,0,0,0,0,9,0,0,0,0,1
1657,Phnom Penh,Chbar Ampov,Veal Sbov,8865846a5dfffff,1186.81,98,116307.38,104.96852536516124,11.520395145665006,4,0,0,0,1,0,6,0,0,0,0,1,4,0,0,0,1,0,12,0,0,0,0,0,7,0,0,0,0,1,5,0,0,0,0,1,3,0,0,0,1,0,11,0,0,0,0,0,7,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,8,0,0,0,0,1,9,0,0,0,0,1,8,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,14,0,0,0,0,0
1658,Phnom Penh,Tuol Kouk,Phsar Depou Ti Pir,8865846a87fffff,2576.71,30,77301.3,104.9054764867588,11.562762528685926,4,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,4,0,0,0,1,0,8,0,0,0,0,1,2,0,0,1,0,0,5,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,7,0,0,0,0,1
1659,Phnom Penh,Tuol Kouk,Tuek L'ak Ti Muoy,8865846a87fffff,5034.56,60,302073.60000000003,104.90014540001172,11.56487699809213,4,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,9,0,0,0,0,1,3,0,0,0,1,0,6,0,0,0,0,1,3,0,0,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,3,0,0,0,1,0,7,0,0,0,0,1
1660,Phnom Penh,Praek Pnov,Kouk Roka,8865846d45fffff,388.5,94,36519.0,104.83736711489256,11.61056606181391,13,0,0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,1,16,0,0,0,0,0,11,0,0,0,0,0,14,0,0,0,0,0,6,0,0,0,0,1,9,0,0,0,0,1,9,0,0,0,0,1,11,0,0,0,0,0,9,0,0,0,0,1,9,0,0,0,0,1,9,0,0,0,0,1,11,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,1
1661,Phnom Penh,Tuol Kouk,Boeng Kak Ti Pir,8865846ab5fffff,1980.93,106,209978.58,104.8908469178824,11.582651811261222,6,0,0,0,0,1,5,0,0,0,0,1,5,0,0,0,0,1,2,0,0,1,0,0,11,0,0,0,0,0,5,0,0,0,0,1,8,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,4,0,0,0,1,0,6,0,0,0,0,1
1662,Phnom Penh,Saensokh,Krang Thnong,8865846d45fffff,406.72,66,26843.52,104.83835727428982,11.607984399398283,12,0,0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,1,0,16,0,0,0,0,0,11,0,0,0,0,0,14,0,0,0,0,0,5,0,0,0,0,1,9,0,0,0,0,1,9,0,0,0,0,1,11,0,0,0,0,0,9,0,0,0,0,1,9,0,0,0,0,1,9,0,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,1
1663,Phnom Penh,Mean Chey,Boeng Tumpun,8865846137fffff,2069.88,94,194568.72,104.90894785527335,11.523384900172788,4,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,8,0,0,0,0,1,4,0,0,0,1,0,3,0,0,0,1,0,5,0,0,0,0,1,8,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,3,0,0,0,1,0,5,0,0,0,0,1,7,0,0,0,0,1,5,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,8,0,0,0,0,1
1664,Phnom Penh,Chbar Ampov,Preaek Aeng,88658478bbfffff,275.59,100,27559.0,104.97458685605773,11.496812361239485,7,0,0,0,0,1,8,0,0,0,0,1,7,0,0,0,0,1,15,0,0,0,0,0,6,0,0,0,0,1,8,0,0,0,0,1,5,0,0,0,0,1,14,0,0,0,0,0,9,0,0,0,0,1,10,0,0,0,0,0,8,0,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,1,9,0,0,0,0,1,16,0,0,0,0,0
1665,Phnom Penh,Tuol Kouk,Tuek L'ak Ti Bei,8865846ab9fffff,1847.33,38,70198.54,104.88784787904764,11.563007028281024,6,0,0,0,0,1,3,0,0,0,1,0,5,0,0,0,0,1,4,0,0,0,1,0,9,0,0,0,0,1,4,0,0,0,1,0,7,0,0,0,0,1,3,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,4,0,0,0,1,0,5,0,0,0,0,1
1666,Phnom Penh,Mean Chey,Chak Angrae Leu,8865846137fffff,2166.96,116,251367.36,104.91124116317133,11.524649793070695,4,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,1,0,8,0,0,0,0,1,4,0,0,0,1,0,3,0,0,0,1,0,5,0,0,0,0,1,8,0,0,0,0,1,3,0,0,0,1,0,5,0,0,0,0,1,3,0,0,0,1,0,5,0,0,0,0,1,7,0,0,0,0,1,5,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,8,0,0,0,0,1
1667,Phnom Penh,Chraoy Chongvar,Bak Kaeng,886586a691fffff,766.74,90,69006.6,104.92560951364486,11.706085738112703,17,0,0,0,0,0,18,0,0,0,0,0,17,0,0,0,0,0,12,0,0,0,0,0,24,0,0,0,0,0,17,0,0,0,0,0,18,0,0,0,0,0,13,0,0,0,0,0,16,0,0,0,0,0,15,0,0,0,0,0,17,0,0,0,0,0,14,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,19,0,0,0,0,0
1668,Phnom Penh,Russey Keo,Chrang Chamreh Ti Muoy,88658468abfffff,2782.87,34,94617.58,104.88204440570678,11.62236735450817,10,0,0,0,0,0,9,0,0,0,0,1,9,0,0,0,0,1,2,0,0,1,0,0,15,0,0,0,0,0,9,0,0,0,0,1,11,0,0,0,0,0,3,0,0,0,1,0,7,0,0,0,0,1,7,0,0,0,0,1,9,0,0,0,0,1,6,0,0,0,0,1,5,0,0,0,0,1,6,0,0,0,0,1,8,0,0,0,0,1,7,0,0,0,0,1,9,0,0,0,0,1
1669,Phnom Penh,Dangkao,Cheung Aek,886584602dfffff,2062.1,84,173216.4,104.91065833423076,11.467443335757158,9,0,0,0,0,1,8,0,0,0,0,1,9,0,0,0,0,1,14,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,1,9,0,0,0,0,1,14,0,0,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,9,0,0,0,0,1,12,0,0,0,0,0,13,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0
1670,Phnom Penh,Mean Chey,Boeng Tumpun,8865846a8bfffff,1927.47,54,104083.38,104.89911742471249,11.54757821494611,4,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,1,0,5,0,0,0,0,1,7,0,0,0,0,1,3,0,0,0,1,0,5,0,0,0,0,1,5,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,6,0,0,0,0,1
1671,Phnom Penh,Praek Pnov,Kouk Roka,8865846d55fffff,1092.48,56,61178.880000000005,104.810936303427,11.601715455242076,15,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,0,7,0,0,0,0,1,17,0,0,0,0,0,13,0,0,0,0,0,16,0,0,0,0,0,8,0,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0,0,1
1672,Phnom Penh,Dangkao,Spean Thma,88658460e5fffff,1190.92,82,97655.44,104.85513001022638,11.469682797327062,13,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,6,0,0,0,0,1,12,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,0,11,0,0,0,0,0,13,0,0,0,0,0,11,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,9,0,0,0,0,1
1673,Phnom Penh,Chbar Ampov,Nirouth,8865846125fffff,4135.4,40,165416.0,104.94321291863211,11.524679742928562,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,10,0,0,0,0,0,5,0,0,0,0,1,3,0,0,0,1,0,2,0,0,1,0,0,9,0,0,0,0,1,5,0,0,0,0,1,5,0,0,0,0,1,3,0,0,0,1,0,6,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,11,0,0,0,0,0
1674,Phnom Penh,Doun Penh,Chey Chummeah,8865846ae7fffff,2160.42,92,198758.64,104.92468528725892,11.566288546334588,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,5,0,0,0,0,1,9,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,1,0,4,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1
