bedrooms,bathrooms,land_area,price_per_m2,n_cafe_in_1km,n_cafe_in_1km_to_2km,n_cafe_in_2km_to_3km,n_cafe_in_3km_to_5km,n_gas_station_in_1km,n_gas_station_in_1km_to_2km,n_gas_station_in_2km_to_3km,n_gas_station_in_3km_to_5km,n_hospital_in_1km,n_hospital_in_1km_to_2km,n_hospital_in_2km_to_3km,n_hospital_in_3km_to_5km,n_hotel_in_1km_to_2km,n_hotel_in_2km_to_3km,n_hotel_in_3km_to_5km,nearest_mart,n_mart_in_1km,n_mart_in_1km_to_2km,n_mart_in_2km_to_3km,n_mart_in_3km_to_5km,n_pre_school_in_1km_to_2km,n_pre_school_in_2km_to_3km,n_pre_school_in_3km_to_5km,n_secondary_school_in_1km_to_2km,n_secondary_school_in_2km_to_3km,n_secondary_school_in_3km_to_5km,n_primary_school_in_1km,n_primary_school_in_1km_to_2km,n_primary_school_in_2km_to_3km,n_primary_school_in_3km_to_5km,n_university_in_1km_to_2km,n_university_in_2km_to_3km,n_university_in_3km_to_5km,n_seven_eleven_in_2km_to_3km,n_seven_eleven_in_3km_to_5km,n_resturant_in_1km,n_resturant_in_1km_to_2km,n_resturant_in_2km_to_3km,n_resturant_in_3km_to_5km,n_super_market_in_1km,n_super_market_in_1km_to_2km,n_super_market_in_2km_to_3km,n_super_market_in_3km_to_5km,n_borey_in_1km_to_2km,n_borey_in_2km_to_3km,n_borey_in_3km_to_5km,n_bank_in_2km_to_3km,n_bank_in_3km_to_5km,nearest_atm,n_atm_in_1km,n_atm_in_1km_to_2km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km,population,median_price_per_m2,mean_price_per_m2,max_price_per_m2,min_price_per_m2,category_name_Condo,category_name_Land/Development,category_name_Villa,price
2,2,71,1338,3,19,29,86,2,10,26,71,0,12,24,67,15,47,22,1,2,15,22,58,3,11,60,9,13,35,2,4,6,37,5,7,70,9,17,0,32,52,29,2,3,27,47,1,1,15,9,14,2,3,35,70,60,11327,1762,1961,6160,170,1,0,0,95000
6,8,366,1338,3,19,29,86,2,10,26,71,0,12,24,67,15,47,22,1,2,15,22,58,3,11,60,9,13,35,2,4,6,37,5,7,70,9,17,0,32,52,29,2,3,27,47,1,1,15,9,14,2,3,35,70,60,11327,1762,1961,6160,170,0,0,0,490000
4,5,168,1339,0,1,2,6,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1785,1544,1676,3835,51,0,0,1,225000
4,5,100,1339,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,0,0,0,135000
4,5,100,1339,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,0,0,0,135000
4,5,168,1339,0,1,2,6,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1785,1544,1676,3835,51,0,0,0,225000
3,4,80,1340,2,9,7,50,0,12,5,31,1,1,0,19,0,2,17,0,0,1,1,18,1,2,32,5,0,22,0,4,3,13,0,0,9,1,10,0,0,1,22,0,2,1,28,2,5,5,1,4,0,0,1,0,28,8223,1875,2100,6333,166,0,0,1,108000
1,1,67,1343,10,14,45,81,6,24,35,66,0,2,24,70,1,10,67,2,1,11,13,64,16,11,37,12,13,38,1,12,12,35,7,47,38,7,17,0,2,5,96,5,9,11,52,7,5,9,5,18,2,2,11,29,120,8037,1809,2075,5347,500,1,0,0,90000
4,5,96,1343,3,21,35,125,12,20,43,100,0,12,27,74,1,4,88,1,3,14,22,61,13,20,61,10,16,49,9,11,24,48,18,54,34,9,23,0,0,2,117,3,5,18,76,5,5,17,5,20,0,2,9,20,148,23197,2059,2331,6363,295,0,0,0,129000
4,5,111,1344,1,8,4,36,0,4,10,20,0,2,0,6,0,0,10,0,0,0,1,5,3,1,13,1,4,8,0,0,3,7,0,0,6,1,4,0,0,0,9,0,2,0,9,5,0,7,0,4,0,0,0,0,11,3342,1986,2186,5000,562,0,0,0,150000
4,5,185,1345,0,2,0,15,1,4,2,28,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,4,1,1,3,9,0,0,2,0,6,0,0,0,0,0,0,0,3,7,6,16,0,0,0,0,0,0,0,2310,1329,1382,2941,120,0,0,0,249000
1,1,49,1346,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,1,0,0,66000
0,0,259,1351,11,37,39,66,3,14,38,60,10,19,44,36,16,46,18,2,3,25,33,35,18,14,23,15,19,28,2,12,17,24,9,11,51,12,12,9,18,60,31,5,26,33,21,1,2,16,10,6,3,8,20,77,66,13796,2708,2727,6000,106,1,0,0,350000
1,1,37,1351,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,1,0,0,50000
9,9,340,1352,0,3,7,22,0,4,8,27,0,0,0,0,0,0,3,0,0,0,0,6,1,5,5,3,3,8,1,1,1,5,2,1,4,1,6,0,0,0,0,0,0,0,7,5,5,7,0,3,0,0,0,1,7,2574,1420,1561,3000,574,0,0,1,460000
1,1,48,1354,1,20,29,92,0,7,19,61,1,11,35,55,46,22,18,0,2,21,20,52,5,4,61,6,18,36,0,4,10,31,3,10,56,4,18,0,71,24,18,0,18,22,39,0,1,10,7,14,0,2,62,54,54,4318,1583,1725,3200,1292,1,0,0,65000
1,1,48,1354,12,52,57,57,6,33,44,75,31,46,19,4,45,37,7,1,10,53,32,14,22,45,25,24,23,25,1,24,19,36,32,39,30,13,12,5,64,48,3,9,39,29,24,1,1,19,5,3,9,22,85,56,15,25191,1697,1910,3750,476,1,0,0,65000
5,3,144,1354,12,31,33,82,6,24,26,70,1,12,45,53,8,11,65,2,2,18,23,48,21,16,19,11,16,28,7,8,18,28,10,10,59,4,19,2,16,14,83,6,17,21,38,0,6,22,7,12,1,5,15,39,109,18375,2092,2396,6250,93,0,0,0,195000
4,5,192,1354,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,0,0,0,260000
12,12,700,1357,11,31,45,77,14,21,26,82,11,49,23,21,36,15,9,2,12,29,39,27,12,35,44,22,22,30,2,13,20,28,11,40,46,8,17,42,47,19,8,13,28,26,30,1,4,11,8,5,14,37,77,27,31,16252,2131,2596,8870,66,0,0,0,950000
1,1,39,1357,21,38,46,65,6,21,38,78,19,54,17,10,21,8,7,9,18,26,35,22,17,25,48,17,21,28,3,8,23,34,8,35,49,11,13,70,25,5,8,18,27,17,25,2,2,8,5,3,21,76,40,26,22,28799,2196,2420,6451,439,1,0,0,53862
0,0,500,1360,5,2,15,80,1,7,14,61,0,0,1,44,2,2,17,0,0,1,4,38,1,14,35,4,8,23,1,2,9,22,0,2,19,6,13,1,0,5,23,0,1,7,37,4,3,13,2,8,0,0,1,6,39,9638,1682,1822,3080,961,0,0,1,680000
3,3,200,1360,0,1,2,6,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1785,1544,1676,3835,51,1,0,0,272000
4,5,72,1361,10,14,45,81,6,24,35,66,0,2,24,70,1,10,67,2,1,11,13,64,16,11,37,12,13,38,1,12,12,35,7,47,38,7,17,0,2,5,96,5,9,11,52,7,5,9,5,18,2,2,11,29,120,8037,1809,2075,5347,500,0,0,0,98000
1,1,57,1361,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,0,0,0,78000
1,1,57,1361,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,1,0,0,78000
1,1,57,1361,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,1,0,0,78000
1,1,57,1361,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,1,0,0,78000
12,11,734,1362,0,4,3,13,0,7,6,26,0,0,0,1,2,2,4,0,0,0,0,0,0,0,2,0,0,4,2,1,2,16,1,0,0,0,5,0,0,0,0,0,0,0,2,3,0,12,0,0,0,0,0,0,1,8517,1362,1362,1362,1362,0,0,1,1000000
2,3,88,1363,0,2,3,11,0,3,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,2,0,0,1,1,4,0,0,0,0,0,0,0,2,3,2,19,0,0,0,0,0,0,0,1551,1548,1749,5902,180,0,0,0,120000
2,3,88,1363,0,2,3,11,0,3,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,2,0,0,1,1,4,0,0,0,0,0,0,0,2,3,2,19,0,0,0,0,0,0,0,1551,1548,1749,5902,180,0,0,0,120000
4,7,132,1363,12,36,37,85,13,20,35,76,4,36,49,22,5,36,47,3,9,23,30,38,26,16,33,14,30,22,4,17,21,35,7,24,62,4,18,4,18,28,68,9,20,29,35,3,3,18,9,7,3,6,28,59,83,23239,2343,2717,6465,30,0,0,0,180000
2,3,53,1367,3,19,29,86,2,10,26,71,0,12,24,67,15,47,22,1,2,15,22,58,3,11,60,9,13,35,2,4,6,37,5,7,70,9,17,0,32,52,29,2,3,27,47,1,1,15,9,14,2,3,35,70,60,11327,1762,1961,6160,170,0,0,1,72500
3,4,106,1367,3,19,29,86,2,10,26,71,0,12,24,67,15,47,22,1,2,15,22,58,3,11,60,9,13,35,2,4,6,37,5,7,70,9,17,0,32,52,29,2,3,27,47,1,1,15,9,14,2,3,35,70,60,11327,1762,1961,6160,170,0,0,0,145000
0,0,43,1370,15,28,43,102,9,38,37,74,6,20,55,32,4,27,62,3,7,14,41,43,22,11,61,14,22,42,10,8,23,38,28,26,30,5,23,1,4,33,81,5,14,32,52,4,7,15,9,11,2,4,29,73,79,15107,1424,2284,6370,35,0,0,0,58910
2,2,62,1370,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,0,0,0,85000
6,7,484,1373,3,21,35,125,12,20,43,100,0,12,27,74,1,4,88,1,3,14,22,61,13,20,61,10,16,49,9,11,24,48,18,54,34,9,23,0,0,2,117,3,5,18,76,5,5,17,5,20,0,2,9,20,148,23197,2059,2331,6363,295,0,0,1,665000
1,1,47,1374,3,7,25,73,3,2,13,53,0,1,12,76,0,43,39,0,1,2,24,46,1,3,43,2,9,34,0,1,8,22,0,7,37,7,13,0,0,67,44,2,1,14,54,0,2,8,4,17,0,2,3,64,89,1037,1378,1126,1559,190,1,0,0,65000
3,3,120,1375,2,16,24,93,1,10,16,68,0,9,23,70,15,47,23,1,2,14,21,56,1,7,62,9,11,37,1,4,7,36,3,6,69,8,18,0,31,53,29,0,3,27,45,1,1,15,7,16,2,3,34,66,62,5029,1405,1694,3466,258,1,0,0,165000
2,3,80,1375,0,6,13,62,2,2,8,28,0,1,2,56,0,4,70,0,0,1,4,51,1,2,37,0,4,28,0,0,1,21,0,2,14,1,14,0,0,0,110,0,0,5,50,2,2,10,0,15,0,0,0,4,113,22,1077,1822,6250,383,0,0,0,110000
2,3,80,1375,0,6,13,62,2,2,8,28,0,1,2,56,0,4,70,0,0,1,4,51,1,2,37,0,4,28,0,0,1,21,0,2,14,1,14,0,0,0,110,0,0,5,50,2,2,10,0,15,0,0,0,4,113,22,1077,1822,6250,383,0,0,0,110000
5,6,500,1376,10,33,44,76,14,20,26,82,13,48,22,21,35,15,9,2,14,28,38,27,12,33,46,22,20,32,2,13,20,28,11,40,46,8,17,47,42,19,8,14,28,25,29,1,4,11,8,5,15,41,72,27,31,16252,2131,2596,8870,66,0,0,1,688000
3,4,261,1376,12,45,31,77,5,26,24,72,5,28,49,25,15,37,30,0,9,25,29,38,24,13,28,15,22,26,2,14,16,33,12,13,56,7,15,8,21,36,54,8,29,24,24,1,2,24,9,6,1,10,29,63,72,13796,2708,2727,6000,106,1,0,0,360000
1,1,49,1377,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,1,0,0,67500
5,7,580,1377,3,21,35,125,12,20,43,100,0,12,27,74,1,4,88,1,3,14,22,61,13,20,61,10,16,49,9,11,24,48,18,54,34,9,23,0,0,2,117,3,5,18,76,5,5,17,5,20,0,2,9,20,148,23197,2059,2331,6363,295,0,0,1,799000
5,6,180,1377,3,19,29,86,2,10,26,71,0,12,24,67,15,47,22,1,2,15,22,58,3,11,60,9,13,35,2,4,6,37,5,7,70,9,17,0,32,52,29,2,3,27,47,1,1,15,9,14,2,3,35,70,60,11327,1762,1961,6160,170,0,0,0,248000
4,5,79,1378,3,19,29,86,2,10,26,71,0,12,24,67,15,47,22,1,2,15,22,58,3,11,60,9,13,35,2,4,6,37,5,7,70,9,17,0,32,52,29,2,3,27,47,1,1,15,9,14,2,3,35,70,60,11327,1762,1961,6160,170,0,0,0,110000
8,12,232,1379,3,6,10,59,2,9,5,30,1,0,2,28,0,3,35,0,0,1,2,32,3,2,38,1,4,26,0,3,4,15,0,1,11,1,12,0,0,1,48,0,0,4,33,3,2,8,1,7,0,0,0,2,46,4083,2411,2613,4824,1379,0,0,0,320000
5,7,645,1379,0,1,2,6,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1785,1544,1676,3835,51,0,0,1,890000
1,1,47,1381,3,7,25,73,3,2,13,53,0,1,12,76,0,43,39,0,1,2,24,46,1,3,43,2,9,34,0,1,8,22,0,7,37,7,13,0,0,67,44,2,1,14,54,0,2,8,4,17,0,2,3,64,89,1037,1378,1126,1559,190,1,0,0,66000
1,1,47,1382,12,36,37,85,13,20,35,76,4,36,49,22,5,36,47,3,9,23,30,38,26,16,33,14,30,22,4,17,21,35,7,24,62,4,18,4,18,28,68,9,20,29,35,3,3,18,9,7,3,6,28,59,83,23239,2343,2717,6465,30,1,0,0,65000
2,3,79,1383,1,8,4,36,0,4,10,20,0,2,0,6,0,0,10,0,0,0,1,5,3,1,13,1,4,8,0,0,3,7,0,0,6,1,4,0,0,0,9,0,2,0,9,5,0,7,0,4,0,0,0,0,11,3342,1986,2186,5000,562,0,0,0,110000
4,5,184,1385,3,21,35,125,12,20,43,100,0,12,27,74,1,4,88,1,3,14,22,61,13,20,61,10,16,49,9,11,24,48,18,54,34,9,23,0,0,2,117,3,5,18,76,5,5,17,5,20,0,2,9,20,148,23197,2059,2331,6363,295,0,0,0,255000
11,13,161,1386,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,0,0,0,224000
2,3,126,1387,1,8,4,36,0,4,10,20,0,2,0,6,0,0,10,0,0,0,1,5,3,1,13,1,4,8,0,0,3,7,0,0,6,1,4,0,0,0,9,0,2,0,9,5,0,7,0,4,0,0,0,0,11,3342,1986,2186,5000,562,0,0,0,175000
3,4,72,1388,10,14,45,81,6,24,35,66,0,2,24,70,1,10,67,2,1,11,13,64,16,11,37,12,13,38,1,12,12,35,7,47,38,7,17,0,2,5,96,5,9,11,52,7,5,9,5,18,2,2,11,29,120,8037,1809,2075,5347,500,0,0,0,100000
5,6,216,1388,0,25,50,67,1,26,29,68,0,8,34,61,8,34,43,1,3,11,27,58,14,19,46,12,16,35,2,6,18,29,9,36,51,12,13,0,4,52,57,0,11,27,43,0,8,10,14,9,1,3,19,73,75,29575,1855,2271,6333,783,0,0,1,300000
0,0,180,1388,1,13,32,86,2,30,26,64,0,3,6,87,0,2,37,0,0,1,20,47,11,13,44,9,13,37,2,8,19,38,8,11,68,7,13,0,1,5,34,0,8,9,53,6,10,14,3,16,0,0,7,6,81,16637,1813,2211,6118,622,0,0,0,250000
2,2,108,1388,6,2,9,36,7,10,18,47,0,0,0,7,2,3,8,0,0,0,1,7,5,0,15,4,3,13,0,11,4,25,4,4,35,2,8,0,0,0,0,0,1,4,12,3,6,21,0,2,0,1,0,0,7,5105,1090,959,1388,400,1,0,0,150000
0,0,200,1390,9,19,32,99,9,38,31,80,1,4,24,72,3,7,72,0,6,8,17,67,11,14,41,9,19,41,6,4,17,45,41,24,38,2,20,1,0,4,98,4,11,11,57,6,2,16,8,15,0,5,9,28,128,13220,2248,2521,6333,905,0,0,0,278000
4,5,105,1390,0,25,50,67,1,26,29,68,0,8,34,61,8,34,43,1,3,11,27,58,14,19,46,12,16,35,2,6,18,29,9,36,51,12,13,0,4,52,57,0,11,27,43,0,8,10,14,9,1,3,19,73,75,29575,1855,2271,6333,783,0,0,0,146000
3,4,79,1392,2,2,2,42,2,9,6,42,0,0,0,5,0,0,2,0,0,0,0,6,0,0,15,1,1,17,1,0,5,21,1,1,11,1,10,0,0,0,7,1,0,0,13,5,9,24,0,1,0,0,0,0,11,3259,1478,1453,3888,230,0,0,0,110000
3,3,56,1392,0,2,0,15,1,4,2,28,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,4,1,1,3,9,0,0,2,0,6,0,0,0,0,0,0,0,3,7,6,16,0,0,0,0,0,0,0,2310,1329,1382,2941,120,0,0,0,78000
1,1,38,1394,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,0,0,0,53000
1,1,38,1394,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,1,0,0,53000
4,5,100,1395,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,499,871,871,1395,347,0,0,0,139500
5,5,179,1396,1,0,1,13,0,0,3,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,3,4,0,0,2,1,0,1,2,0,8,0,0,0,0,0,0,0,0,2,2,7,0,0,0,0,0,0,1,1716,1550,1716,2676,1234,0,0,0,250000
2,2,132,1397,12,31,33,82,6,24,26,70,1,12,45,53,8,11,65,2,2,18,23,48,21,16,19,11,16,28,7,8,18,28,10,10,59,4,19,2,16,14,83,6,17,21,38,0,6,22,7,12,1,5,15,39,109,18375,2092,2396,6250,93,1,0,0,185000
2,1,46,1397,1,8,4,36,0,4,10,20,0,2,0,6,0,0,10,0,0,0,1,5,3,1,13,1,4,8,0,0,3,7,0,0,6,1,4,0,0,0,9,0,2,0,9,5,0,7,0,4,0,0,0,0,11,3342,1986,2186,5000,562,1,0,0,65000
2,2,93,1397,6,27,37,87,0,17,26,63,4,20,54,30,40,12,15,2,7,25,17,53,5,18,60,14,17,32,0,9,10,33,8,10,64,4,20,35,49,18,16,4,23,26,34,0,4,10,11,6,2,24,68,47,36,5351,1728,2180,6461,25,1,0,0,130000
0,0,429,1398,2,1,5,58,3,6,9,56,0,0,0,14,0,0,3,0,0,0,0,22,1,4,27,2,4,21,0,4,4,36,0,3,20,3,12,0,0,0,7,0,1,1,23,6,10,22,0,6,0,0,0,0,19,4237,1398,1398,1398,1398,0,0,0,600000
45,0,2000,1400,10,33,44,76,14,20,26,82,13,48,22,21,35,15,9,2,14,28,38,27,12,33,46,22,20,32,2,13,20,28,11,40,46,8,17,47,42,19,8,14,28,25,29,1,4,11,8,5,15,41,72,27,31,16252,2131,2596,8870,66,0,0,0,2800000
5,6,100,1400,0,2,0,15,1,4,2,28,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,4,1,1,3,9,0,0,2,0,6,0,0,0,0,0,0,0,3,7,6,16,0,0,0,0,0,0,0,2310,1329,1382,2941,120,0,0,0,140000
1,1,40,1400,6,52,66,52,12,35,47,63,21,55,28,6,18,62,14,2,15,36,39,18,19,45,29,21,25,28,6,16,28,32,35,36,33,15,9,0,23,94,3,5,34,39,25,1,2,22,8,3,2,11,60,93,21,25191,1697,1910,3750,476,0,0,0,56000
0,0,1442,1400,3,21,35,125,12,20,43,100,0,12,27,74,1,4,88,1,3,14,22,61,13,20,61,10,16,49,9,11,24,48,18,54,34,9,23,0,0,2,117,3,5,18,76,5,5,17,5,20,0,2,9,20,148,23197,2059,2331,6363,295,0,0,0,2018800
1,1,50,1400,10,46,43,73,10,28,36,71,5,49,41,16,7,52,28,7,9,23,37,28,31,14,32,23,20,27,3,17,22,37,13,25,58,11,9,5,26,47,41,8,28,33,28,3,2,17,10,4,3,7,45,72,54,23239,2343,2717,6465,30,0,0,0,70000
3,4,80,1400,6,27,37,87,0,17,26,63,4,20,54,30,40,12,15,2,7,25,17,53,5,18,60,14,17,32,0,9,10,33,8,10,64,4,20,35,49,18,16,4,23,26,34,0,4,10,11,6,2,24,68,47,36,5351,1728,2180,6461,25,0,0,1,112000
0,0,1167,1400,5,8,18,58,7,10,28,79,0,0,1,16,1,4,10,0,0,2,5,25,3,16,31,1,7,21,1,4,9,34,1,20,57,4,12,0,0,2,3,1,2,12,16,5,8,13,1,4,0,0,1,5,24,4621,2153,2228,4000,633,0,1,0,1633800
2,3,74,1400,2,9,7,50,0,12,5,31,1,1,0,19,0,2,17,0,0,1,1,18,1,2,32,5,0,22,0,4,3,13,0,0,9,1,10,0,0,1,22,0,2,1,28,2,5,5,1,4,0,0,1,0,28,8223,1875,2100,6333,166,0,0,1,105000
2,3,74,1400,2,9,7,50,0,12,5,31,1,1,0,19,0,2,17,0,0,1,1,18,1,2,32,5,0,22,0,4,3,13,0,0,9,1,10,0,0,1,22,0,2,1,28,2,5,5,1,4,0,0,1,0,28,8223,1875,2100,6333,166,0,0,1,105000
1,1,53,1401,1,25,51,70,1,26,34,66,0,10,36,60,10,34,41,0,4,11,29,57,16,18,47,11,17,34,2,7,17,30,9,38,50,11,14,0,4,54,56,0,11,27,43,0,8,10,13,10,1,3,20,81,70,36545,1657,1728,2528,1228,1,0,0,75000
2,3,110,1402,0,2,3,11,0,3,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,2,0,0,1,1,4,0,0,0,0,0,0,0,2,3,2,19,0,0,0,0,0,0,0,1551,1548,1749,5902,180,0,0,0,155000
1,1,33,1402,11,31,45,77,14,21,26,82,11,49,23,21,36,15,9,2,12,29,39,27,12,35,44,22,22,30,2,13,20,28,11,40,46,8,17,42,47,19,8,13,28,26,30,1,4,11,8,5,14,37,77,27,31,16252,2131,2596,8870,66,0,0,0,47000
1,1,33,1402,0,1,2,6,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,1785,1544,1676,3835,51,1,0,0,47000
4,5,784,1403,7,14,21,107,4,27,29,112,1,3,7,67,4,5,27,0,0,5,19,43,10,19,43,6,16,38,3,12,23,42,30,36,28,7,21,0,0,2,23,3,6,11,49,6,5,25,0,21,0,1,6,9,89,16032,1899,1979,5922,450,0,0,0,1100000
1,1,57,1403,1,3,9,45,0,4,6,44,0,1,0,7,0,0,5,0,0,0,0,7,0,1,21,2,1,17,1,0,2,17,0,0,4,1,10,0,0,1,5,0,1,0,13,0,2,14,1,3,0,1,0,0,9,8431,1636,1882,2820,1276,1,0,0,80000
1,1,89,1403,15,53,37,70,5,28,30,85,28,49,22,10,44,32,6,5,15,35,25,26,24,10,38,25,15,27,7,14,23,35,16,13,61,6,15,18,38,55,3,12,35,19,22,2,0,19,5,4,5,21,67,64,24,18149,2485,2756,6300,100,1,0,0,125000
1,1,38,1405,7,7,27,79,3,7,17,50,0,4,17,75,8,48,27,0,2,7,27,48,0,3,49,3,10,39,0,2,7,29,0,9,46,8,15,0,11,70,31,3,1,24,45,0,1,11,7,15,0,3,14,74,73,5029,1405,1694,3466,258,1,0,0,53390
0,1,37,1405,12,36,37,85,13,20,35,76,4,36,49,22,5,36,47,3,9,23,30,38,26,16,33,14,30,22,4,17,21,35,7,24,62,4,18,4,18,28,68,9,20,29,35,3,3,18,9,7,3,6,28,59,83,23239,2343,2717,6465,30,1,0,0,52000
2,3,64,1406,2,9,7,50,0,12,5,31,1,1,0,19,0,2,17,0,0,1,1,18,1,2,32,5,0,22,0,4,3,13,0,0,9,1,10,0,0,1,22,0,2,1,28,2,5,5,1,4,0,0,1,0,28,8223,1875,2100,6333,166,0,0,0,90000
2,3,64,1406,0,2,0,15,1,4,2,28,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,4,1,1,3,9,0,0,2,0,6,0,0,0,0,0,0,0,3,7,6,16,0,0,0,0,0,0,0,2310,1329,1382,2941,120,0,0,0,90000
6,6,192,1406,12,36,37,85,13,20,35,76,4,36,49,22,5,36,47,3,9,23,30,38,26,16,33,14,30,22,4,17,21,35,7,24,62,4,18,4,18,28,68,9,20,29,35,3,3,18,9,7,3,6,28,59,83,23239,2343,2717,6465,30,0,0,0,270000
8,11,128,1406,10,33,44,76,14,20,26,82,13,48,22,21,35,15,9,2,14,28,38,27,12,33,46,22,20,32,2,13,20,28,11,40,46,8,17,47,42,19,8,14,28,25,29,1,4,11,8,5,15,41,72,27,31,16252,2131,2596,8870,66,0,0,1,180000
4,5,64,1406,1,13,14,38,8,12,19,67,0,0,5,6,3,4,7,0,0,0,1,21,2,2,29,6,0,24,4,4,19,36,2,13,56,4,9,0,0,0,2,0,4,5,15,1,7,25,1,1,0,1,0,2,14,6959,1406,1406,1406,1406,0,0,0,90000
