n_gas_station_in_1km_to_2km,n_borey_in_3km_to_5km,n_pre_school_in_1km,address_line_2,n_atm_in_1km_to_2km,n_super_market_in_1km,n_resturant_in_1km_to_2km,h_id,n_atm_in_3km_to_5km,population,near_Phnom_Penh_Airport_in_km,n_pre_school_in_1km_to_2km,n_cafe_in_1km,near_Phsar_kandal_in_km,n_seven_eleven_in_1km_to_2km,n_university_in_2km_to_3km,n_atm_5km,n_atm_in_1km,near_AEON_Mall_3_in_km,n_university_in_3km_to_5km,price_per_m2
1,11,0,64,0,0,0,135,0,197.0,7,0,0,14,1,0,0,0,9,1,296.34
14,22,0,85,16,0,0,447,272,26319.0,5,3,1,5,2,12,316,0,6,75,3268.54
0,4,0,90,0,0,0,145,0,371.0,13,0,0,17,0,0,0,0,9,0,226.38
5,2,0,68,0,0,0,427,0,2020.0,16,0,0,7,0,0,0,0,8,0,751.54
0,4,0,33,0,0,0,406,0,19.0,16,0,0,10,0,0,0,0,19,1,192.39
1,0,0,66,0,0,0,597,0,430.0,14,0,0,21,0,0,0,0,25,0,230.38
1,4,0,71,0,0,0,32,0,2626.0,11,0,1,12,0,0,0,0,19,0,1247.74
0,0,0,50,0,0,0,547,0,185.0,11,0,0,20,0,0,0,0,22,0,92.46
0,2,0,74,0,0,0,779,0,156.0,17,0,0,12,0,0,0,0,7,0,446.47
0,3,0,0,0,0,0,377,0,32.0,17,0,1,13,0,0,0,0,22,0,579.33
2,2,0,71,0,0,0,13,0,1229.0,14,0,1,15,0,0,0,0,23,0,822.88
0,1,0,82,0,0,0,510,0,352.0,8,0,0,18,0,0,0,0,19,0,166.45
0,5,0,37,0,0,0,147,0,751.0,11,0,0,16,0,0,0,0,8,0,112.17
35,14,2,8,32,1,1,441,474,29434.0,6,16,3,4,5,52,629,8,7,42,3414.92
2,16,0,17,0,0,0,726,8,11342.0,2,0,0,10,1,0,8,0,9,6,1784.39
0,0,0,80,0,0,0,3,0,475.0,17,0,0,18,0,0,0,0,26,0,281.78
0,1,0,71,0,0,0,26,0,695.0,15,0,0,16,1,0,0,0,24,0,936.91
1,12,0,17,0,0,0,655,0,1165.0,6,0,1,14,0,0,0,0,10,1,1514.69
1,6,0,74,0,0,0,754,0,848.0,16,0,0,11,0,0,0,0,6,0,460.78
2,7,0,81,0,0,0,505,0,170.0,6,0,0,14,1,0,0,0,17,0,475.21
0,3,0,0,0,0,0,70,0,38.0,17,0,0,14,0,0,0,0,23,0,569.64
2,5,0,67,0,0,0,143,0,891.0,10,0,0,17,0,0,0,0,11,0,1136.87
0,0,0,80,0,0,0,3,0,475.0,18,0,0,18,0,0,0,0,26,0,197.6
1,0,0,65,0,0,0,65,0,1089.0,14,0,0,19,0,0,0,0,24,0,166.83
2,1,0,67,0,0,0,664,0,14.0,8,0,0,17,0,0,0,0,13,0,1162.62
0,0,0,66,0,0,0,597,0,430.0,14,0,1,21,0,0,0,0,25,0,177.89
4,5,0,94,0,0,0,639,0,5043.0,3,0,0,14,1,1,0,0,13,0,504.05
2,1,0,71,0,0,0,11,0,516.0,13,0,0,14,1,0,0,0,22,0,765.04
1,16,0,75,0,0,0,232,0,1664.0,8,0,0,11,0,0,0,0,4,1,663.1
15,16,1,26,28,0,0,292,399,4475.0,10,4,0,3,4,9,513,4,12,59,2320.32
19,8,2,52,8,0,0,347,64,3707.0,5,2,2,7,2,16,80,0,12,58,2764.7
1,1,0,66,0,0,0,508,0,325.0,9,0,0,18,0,0,0,0,20,0,214.26
3,6,0,72,4,0,0,194,20,5574.0,12,0,0,7,1,0,24,0,3,4,729.88
3,5,0,19,0,0,0,118,0,2183.0,14,0,0,12,1,0,0,0,3,0,436.59
3,23,0,19,0,0,0,229,0,1386.0,8,1,0,9,1,1,0,0,2,1,512.69
1,5,0,0,0,0,0,383,0,107.0,15,0,0,12,1,0,0,0,21,0,609.22
10,11,1,36,4,0,0,358,120,4080.0,9,7,0,5,3,5,144,0,14,43,1288.58
4,8,0,35,0,0,0,332,4,2086.0,9,1,1,10,2,0,4,0,17,1,1101.68
36,16,4,96,40,3,2,457,480,5039.0,5,17,10,4,2,18,617,12,10,27,3588.15
24,10,3,78,16,2,2,339,400,3083.0,7,18,6,4,2,30,474,8,12,54,2644.11
5,24,1,19,0,0,0,245,32,3381.0,8,0,0,8,1,0,32,0,2,9,714.45
0,0,0,66,0,0,0,620,0,3.0,11,0,0,17,0,0,0,0,22,0,203.28
0,1,0,31,0,0,0,678,0,272.0,10,0,0,20,0,0,0,0,19,0,263.33
1,18,0,75,0,0,0,232,0,1664.0,9,0,0,11,0,0,0,0,4,1,617.87
1,0,0,66,0,0,0,600,0,378.0,13,0,0,20,0,0,0,0,24,0,236.88
5,10,1,36,0,0,0,355,56,3972.0,11,4,1,6,2,1,64,0,15,9,1189.21
3,3,0,69,0,0,0,78,0,1133.0,13,0,0,14,1,0,0,0,4,0,244.75
0,2,0,40,0,0,0,129,0,285.0,12,0,0,19,0,0,0,0,12,0,218.23
8,5,2,18,4,0,1,177,146,11754.0,12,0,1,5,2,2,158,0,5,14,1534.64
34,22,4,98,40,0,1,462,475,11443.0,5,15,5,4,6,20,579,4,9,27,3229.69
1,4,0,39,0,0,0,574,0,855.0,6,0,0,14,0,0,0,0,17,0,784.6
6,10,0,24,0,0,0,326,4,2082.0,10,0,1,9,1,0,4,0,17,2,1242.7
1,0,0,66,0,0,0,597,0,430.0,14,0,0,21,0,0,0,0,25,0,171.98
2,3,0,32,0,0,0,643,0,2288.0,4,0,0,14,0,1,0,0,12,0,1035.16
10,12,0,85,0,0,0,219,92,23564.0,5,2,1,7,1,6,104,0,6,46,2782.54
0,3,0,90,0,0,0,248,0,206.0,14,0,0,17,0,0,0,0,8,0,164.38
3,3,0,71,0,0,0,14,0,2118.0,12,0,0,13,2,0,0,0,20,0,968.88
0,3,0,0,0,0,0,70,0,38.0,18,0,0,14,0,0,0,0,24,0,551.92
1,2,0,39,0,0,0,42,0,469.0,10,0,0,12,0,0,0,0,19,0,762.73
16,24,1,52,8,3,0,729,133,4719.0,3,5,6,6,1,26,165,4,10,41,2943.14
3,4,0,89,0,0,0,43,0,2260.0,10,0,1,12,1,0,0,0,19,0,734.28
0,1,0,50,0,0,0,541,0,396.0,12,0,0,22,0,0,0,0,22,0,102.55
2,7,0,51,0,0,0,628,0,1243.0,6,0,0,14,1,0,0,0,11,1,458.11
0,5,0,37,0,0,0,147,0,751.0,11,0,0,16,0,0,0,0,8,0,112.2
7,12,0,17,0,0,0,723,4,8517.0,1,0,1,11,2,0,4,0,11,0,1709.3
5,14,0,35,0,0,0,336,16,1390.0,8,1,0,8,2,0,16,0,15,7,1101.19
1,11,0,34,0,0,0,750,4,1061.0,16,0,0,9,0,0,4,0,6,0,561.27
0,1,0,40,0,0,0,287,0,689.0,10,0,0,18,0,0,0,0,13,0,260.04
0,0,0,65,0,0,0,67,0,387.0,12,0,0,18,0,0,0,0,23,0,142.56
3,20,0,85,0,2,0,719,48,13029.0,3,2,4,7,0,9,56,0,8,52,2450.38
35,16,10,2,44,4,0,459,438,13220.0,6,9,10,4,6,21,593,16,11,34,3863.08
0,3,0,90,0,0,0,248,0,206.0,14,0,0,17,0,0,0,0,8,0,159.47
5,8,0,73,0,0,0,37,0,138.0,12,0,0,11,1,0,0,0,19,1,630.26
0,2,0,34,0,0,0,738,0,367.0,21,0,0,14,0,0,0,0,12,0,427.7
7,15,0,24,0,0,0,329,36,3341.0,10,4,3,7,0,0,36,0,15,8,1340.35
0,4,0,79,0,0,0,157,0,1497.0,10,0,0,15,0,0,0,0,8,0,659.0
0,3,0,37,0,0,0,122,0,528.0,11,0,0,17,0,0,0,0,9,0,105.62
4,7,1,44,0,0,0,431,72,1701.0,14,1,2,5,2,1,72,0,7,7,1560.32
1,6,0,67,0,0,0,665,0,128.0,7,0,1,15,0,0,0,0,11,1,1216.64
2,13,0,17,0,0,0,208,0,5794.0,5,0,0,11,0,0,0,0,7,2,1655.83
0,2,0,79,0,0,0,123,0,203.0,11,0,0,17,0,0,0,0,10,0,647.89
7,6,0,17,0,0,0,638,0,9811.0,3,0,0,13,2,0,0,0,12,0,1536.19
27,12,2,84,308,2,58,450,144,9274.0,8,19,15,2,8,38,661,43,10,37,4199.33
0,0,0,67,0,0,0,281,0,875.0,11,0,0,19,0,0,0,0,14,0,1106.83
3,25,0,17,0,1,0,719,32,13029.0,2,1,1,8,0,1,36,0,8,29,2032.32
2,13,0,91,0,0,0,420,415,8.0,13,0,0,3,1,3,439,0,9,18,4842.5
4,18,0,17,0,0,0,225,0,2523.0,4,0,0,10,1,0,0,0,7,3,1681.71
0,3,0,31,0,0,0,673,0,262.0,9,0,0,19,0,0,0,0,18,0,1233.67
14,15,0,28,4,0,0,689,20,6724.0,1,2,1,9,2,6,24,0,11,19,2062.7
0,2,0,37,0,0,0,153,0,753.0,12,0,0,18,0,0,0,0,10,0,119.58
1,4,0,70,0,0,0,397,8,1716.0,12,1,0,8,2,0,8,0,17,2,1957.33
0,3,0,0,0,0,0,384,0,12.0,17,0,0,13,2,0,0,0,22,0,571.97
0,6,0,90,0,0,0,161,0,299.0,10,0,0,15,0,0,0,0,8,0,217.15
0,1,0,50,0,0,0,536,0,14.0,13,0,0,22,0,0,0,0,23,0,88.71
0,2,0,34,0,0,0,742,0,1442.0,21,0,0,13,0,0,0,0,12,0,543.98
2,1,0,19,0,0,0,96,0,277.0,12,0,0,12,0,0,0,0,2,0,518.45
0,0,0,66,0,0,0,595,0,151.0,13,0,0,21,0,0,0,0,24,0,194.15
2,8,0,34,0,0,0,746,0,1135.0,18,0,0,10,0,0,0,0,8,1,469.42
16,14,2,52,8,0,0,351,60,2884.0,4,5,1,7,1,17,80,0,11,51,2945.39
1,3,0,32,0,0,0,651,0,1505.0,4,0,0,14,0,1,0,0,13,0,1089.9
0,0,0,9,0,0,0,274,0,445.0,12,0,0,21,0,0,0,0,18,0,150.05
0,6,0,35,0,0,0,583,0,244.0,9,0,0,12,0,0,0,0,18,0,952.68
8,14,0,35,0,0,0,338,12,2777.0,9,0,0,8,2,0,12,0,16,7,1157.68
3,4,0,67,0,0,0,141,0,449.0,8,0,0,15,1,0,0,0,10,0,1151.66
4,11,1,78,8,0,0,359,132,5598.0,10,4,2,5,1,2,144,0,14,13,1643.98
12,14,0,27,0,0,0,219,92,23564.0,5,2,0,6,3,5,100,0,5,38,1823.91
3,5,0,31,0,0,0,639,0,5043.0,4,0,0,14,1,1,0,0,13,0,1364.78
1,7,0,74,0,0,0,750,0,1061.0,16,0,0,10,0,0,0,0,6,0,412.48
3,1,0,69,0,0,0,81,0,680.0,12,0,0,13,2,0,0,0,4,0,214.34
4,7,0,39,0,0,0,711,4,531.0,4,0,0,12,2,0,4,0,15,0,977.18
2,2,0,107,0,0,0,427,4,2020.0,15,1,0,7,0,0,4,0,8,0,895.73
3,5,0,14,4,0,0,194,4,5574.0,13,0,0,7,1,0,8,0,4,1,1957.37
0,3,0,90,0,0,0,248,0,206.0,14,0,0,17,0,0,0,0,8,0,159.47
3,10,0,91,44,2,11,421,296,686.0,11,10,3,2,2,5,581,0,8,26,5377.18
0,0,0,66,0,0,0,589,0,599.0,12,0,0,20,0,0,0,0,23,0,257.39
0,1,0,82,0,0,0,510,0,352.0,8,0,0,17,0,0,0,0,18,0,194.93
1,5,0,107,0,0,0,767,4,490.0,15,0,0,7,1,1,4,0,7,1,988.62
0,1,0,50,0,0,0,495,0,463.0,9,0,0,19,0,0,0,0,20,0,120.27
0,2,0,31,0,0,0,648,0,736.0,6,0,0,16,0,0,0,0,15,1,1025.82
0,6,0,79,0,0,0,161,0,299.0,10,0,0,15,0,0,0,0,7,0,822.2
0,1,0,67,0,0,0,126,0,1131.0,12,0,0,19,0,0,0,0,13,0,1347.57
3,4,0,69,0,0,0,118,0,2183.0,14,0,0,12,0,0,0,0,3,0,231.98
0,1,0,31,0,0,0,492,0,338.0,9,0,0,19,0,0,0,0,19,0,903.2
0,0,0,67,0,0,0,282,0,648.0,11,0,0,19,0,0,0,0,14,0,1157.84
0,2,0,34,0,0,0,786,0,226.0,21,0,0,13,0,0,0,0,11,0,427.08
0,6,0,83,0,0,0,79,0,777.0,12,0,1,14,0,0,0,0,4,0,247.41
0,2,0,40,0,0,0,154,0,562.0,12,0,0,19,0,0,0,0,12,0,216.08
9,16,9,91,179,14,37,482,115,7658.0,9,15,14,1,9,13,625,56,7,54,6193.84
0,0,0,33,0,0,0,824,0,764.0,19,0,0,13,0,0,0,0,22,0,222.06
0,2,0,31,0,0,0,526,0,537.0,6,0,0,16,0,0,0,0,16,0,995.28
0,2,0,50,0,0,0,550,0,94.0,11,0,0,21,0,0,0,0,21,0,115.73
0,3,0,90,0,0,0,148,0,849.0,11,0,0,17,0,0,0,0,9,0,181.48
0,4,0,32,0,0,0,625,0,90.0,6,0,0,16,0,0,0,0,13,1,945.71
3,14,1,25,0,0,0,356,52,2904.0,10,2,0,6,0,2,56,0,15,9,1287.16
0,4,0,37,0,0,0,146,0,665.0,12,0,0,17,0,0,0,0,9,0,100.61
0,4,0,77,0,0,0,109,0,550.0,14,0,0,17,0,0,0,0,7,0,201.62
0,0,0,66,0,0,0,62,0,430.0,12,0,0,18,0,0,0,0,23,0,210.19
0,14,0,76,0,0,0,135,0,197.0,7,0,0,13,0,0,0,0,8,1,266.65
2,4,0,31,0,0,0,645,0,762.0,5,0,0,15,0,0,0,0,14,1,1028.41
2,21,0,27,0,0,0,233,0,1076.0,9,1,0,9,0,1,0,0,2,1,1049.67
6,16,0,17,0,0,0,201,0,2310.0,5,0,0,10,1,0,0,0,6,6,1578.82
0,3,0,77,0,0,0,79,0,777.0,12,0,1,14,0,0,0,0,4,0,221.53
0,0,0,66,0,0,0,595,0,151.0,13,0,0,22,0,0,0,0,24,0,187.67
2,3,0,68,0,0,0,423,16,3164.0,14,1,0,6,1,1,16,0,8,1,995.91
0,8,0,69,0,0,0,106,0,54.0,15,0,0,15,0,0,0,0,5,0,261.88
4,0,0,69,0,0,0,80,0,878.0,12,0,0,12,2,0,0,0,3,0,220.63
6,11,0,44,12,0,0,415,442,808.0,12,1,2,3,4,5,510,0,7,21,1985.27
3,6,0,19,0,0,0,97,0,1285.0,11,0,0,12,0,0,0,0,3,0,505.23
0,5,0,39,0,0,0,563,0,6.0,9,0,0,13,0,0,0,0,19,0,723.16
1,7,0,72,0,0,0,193,0,509.0,14,0,0,7,1,0,4,0,5,0,587.94
0,2,0,34,0,0,0,794,0,1205.0,20,0,0,11,0,0,0,0,11,1,476.06
0,2,0,40,0,0,0,119,0,1.0,10,0,0,17,0,0,0,0,10,0,260.56
6,20,0,35,0,0,0,312,28,4912.0,7,1,0,8,1,0,32,0,15,19,1265.15
0,0,0,50,0,0,0,539,0,40.0,12,0,0,22,0,0,0,0,22,0,90.0
0,9,0,64,0,0,0,132,0,775.0,8,0,0,14,0,0,0,0,8,0,356.16
0,1,0,37,0,0,0,155,0,357.0,13,0,0,18,0,0,0,0,11,0,104.21
6,5,0,94,0,0,0,517,0,3447.0,4,0,0,14,1,0,0,0,14,1,367.69
0,0,0,65,0,0,0,53,0,683.0,15,0,0,21,0,0,0,0,26,0,130.22
2,3,0,67,0,0,0,140,0,57.0,9,0,0,17,0,0,0,0,12,0,1193.94
13,22,0,98,4,2,0,721,76,10778.0,3,3,0,7,2,14,88,0,8,59,2444.99
1,2,0,51,0,0,0,625,0,90.0,6,0,0,15,0,0,0,0,13,1,292.05
0,2,0,31,0,0,0,686,0,539.0,8,0,0,19,0,0,0,0,18,0,1242.02
3,17,0,27,0,0,0,227,0,245.0,9,0,0,10,0,0,0,0,3,1,1137.78
2,4,0,32,0,0,0,624,0,918.0,5,0,0,14,0,1,0,0,12,0,1202.17
18,20,2,85,8,1,0,215,203,16670.0,5,3,1,6,2,9,235,0,6,73,3285.92
3,3,0,107,0,0,0,422,0,3141.0,16,0,0,7,0,0,0,0,8,0,900.5
13,20,0,28,4,0,0,693,24,3331.0,1,1,2,9,1,2,28,0,10,26,2150.26
0,10,0,83,0,0,0,162,0,508.0,10,0,0,14,0,0,0,0,6,0,244.58
0,1,0,50,0,0,0,509,0,455.0,10,0,0,19,0,0,0,0,21,0,110.42
9,13,0,28,0,0,0,702,4,2554.0,0,0,0,10,1,0,8,0,11,10,2095.76
0,3,0,0,0,0,0,381,0,1753.0,16,0,1,12,1,0,0,0,21,0,787.19
25,14,3,78,20,1,2,339,434,3083.0,7,22,3,4,3,40,504,8,12,45,2621.75
0,0,0,74,0,0,0,740,0,986.0,22,0,0,15,0,0,0,0,12,0,309.14
1,5,0,33,0,0,0,388,4,564.0,14,0,0,8,2,1,4,0,18,2,206.82
2,1,0,80,0,0,0,11,0,516.0,13,0,1,14,1,0,0,0,21,0,272.99
4,5,0,17,0,0,0,639,0,5043.0,4,0,0,14,1,1,0,0,13,0,1622.04
0,3,0,82,0,0,0,514,0,3039.0,6,0,0,16,0,0,0,0,16,0,192.53
0,4,0,32,0,0,0,625,0,90.0,6,0,0,16,0,0,0,0,13,1,926.33
1,7,0,35,0,0,0,580,0,1339.0,8,0,0,11,0,0,0,0,17,0,941.66
0,3,0,82,0,0,0,502,0,118.0,7,0,0,16,0,0,0,0,19,0,164.74
9,9,2,78,20,0,0,357,296,4977.0,9,5,1,5,3,5,336,0,13,58,2200.44
0,1,0,50,0,0,0,495,0,463.0,9,0,0,19,0,0,0,0,20,0,109.86
2,6,0,69,0,0,0,118,0,2183.0,15,0,0,13,1,0,0,0,4,0,246.89
0,1,0,9,0,0,0,266,0,1228.0,9,0,0,18,0,0,0,0,14,0,172.3
0,0,0,9,0,0,0,257,0,716.0,11,0,0,20,0,0,0,0,15,0,148.3
6,8,2,26,110,1,47,306,266,4318.0,11,1,1,2,3,9,577,8,11,46,2455.8
0,1,0,9,0,0,0,636,0,1211.0,8,0,0,18,0,0,0,0,15,0,179.84
0,7,0,81,0,0,0,574,0,855.0,6,0,0,14,0,0,0,0,17,0,480.59
0,0,0,66,0,0,0,587,0,515.0,12,0,0,20,0,0,0,0,23,0,230.07
0,2,0,40,0,0,0,123,0,203.0,11,0,0,17,0,0,0,0,10,0,226.38
0,0,0,66,0,0,0,621,0,461.0,12,0,0,18,0,0,0,0,23,0,230.73
0,12,0,64,0,0,0,132,0,775.0,7,0,0,14,0,0,0,0,8,0,450.8
0,3,0,0,0,0,0,70,0,38.0,17,0,0,14,0,0,0,0,23,0,576.82
0,2,0,74,0,0,0,779,0,156.0,18,0,0,11,0,0,0,0,7,0,365.13
37,19,8,8,109,2,1,437,292,29015.0,6,12,3,3,9,32,653,12,8,23,3865.21
19,13,3,52,8,0,0,346,86,4621.0,5,1,4,6,2,19,102,0,12,54,2895.08
0,7,0,72,0,0,0,433,4,102.0,14,1,1,7,1,0,4,0,6,2,654.29
0,0,0,9,0,0,0,274,0,445.0,11,0,0,21,0,0,0,0,17,0,154.88
2,3,0,34,0,0,0,761,0,40.0,18,0,0,10,0,0,0,0,9,1,393.83
7,12,1,44,4,2,0,417,416,3794.0,11,3,3,3,4,5,484,0,6,19,1996.92
10,5,2,44,4,0,0,181,124,8223.0,12,1,1,5,1,0,128,0,5,8,1654.23
6,14,0,25,0,0,0,329,36,3341.0,9,4,3,7,0,0,36,0,15,8,1337.69
0,17,0,83,0,0,0,238,0,1398.0,9,0,0,12,0,0,0,0,5,0,259.56
0,1,0,82,0,0,0,523,0,400.0,7,0,0,17,0,0,0,0,17,0,146.01
0,0,0,74,0,0,0,781,0,1658.0,19,0,0,13,0,0,0,0,9,0,355.35
2,5,0,67,0,0,0,140,0,57.0,9,0,0,17,0,0,0,0,12,0,1213.41
0,4,0,90,0,0,0,148,0,849.0,12,0,0,16,0,0,0,0,9,0,218.32
0,14,0,83,0,0,0,231,0,1182.0,9,0,1,11,0,0,0,0,3,1,281.52
4,17,0,64,0,0,0,658,0,1586.0,6,0,0,13,2,0,0,0,9,1,422.21
28,16,9,2,79,3,1,463,351,15107.0,6,22,8,3,3,24,657,16,9,28,3952.6
1,16,0,17,0,0,0,208,0,5794.0,4,0,0,10,1,0,0,0,7,3,1590.61
3,5,0,31,0,0,0,639,0,5043.0,4,0,0,14,1,1,0,0,13,0,1272.26
1,17,0,85,0,2,0,214,32,13304.0,3,0,1,8,0,4,36,0,7,25,2639.67
6,15,0,17,0,0,0,201,0,2310.0,5,0,0,10,2,0,0,0,6,3,1703.54
0,6,0,69,0,0,0,108,0,220.0,16,0,0,15,0,0,0,0,6,0,194.63
0,0,0,80,0,0,0,3,0,475.0,17,0,0,18,0,0,0,0,26,0,285.99
0,13,0,76,0,0,0,239,0,67.0,8,0,0,13,0,0,0,0,6,0,257.18
12,7,0,15,0,0,1,176,145,9638.0,10,3,3,5,0,1,161,4,4,15,2213.89
0,3,0,94,0,0,0,514,0,3039.0,5,0,0,15,0,0,0,0,16,0,401.86
0,1,0,80,0,0,0,24,0,783.0,15,0,0,16,1,0,0,0,24,0,230.65
7,23,0,27,0,0,0,247,44,1943.0,8,1,0,7,1,0,44,0,2,11,1645.88
0,0,0,40,0,0,0,278,0,455.0,12,0,0,20,0,0,0,0,14,0,225.45
0,6,0,69,0,0,0,108,0,220.0,16,0,0,15,0,0,0,0,6,0,194.08
6,11,0,17,0,0,0,725,4,9191.0,1,0,0,11,1,1,4,0,11,5,1761.77
1,4,0,26,4,0,0,291,355,115.0,13,2,0,3,0,1,375,0,13,14,1982.15
0,0,0,9,0,0,0,275,0,229.0,13,0,0,22,0,0,0,0,18,0,48.2
0,1,0,80,0,0,0,28,0,454.0,14,0,0,15,1,0,0,0,23,0,225.53
0,2,0,37,0,0,0,153,0,753.0,12,0,0,18,0,0,0,0,10,0,121.77
8,13,11,91,229,13,49,482,126,7658.0,10,12,19,1,10,12,629,52,7,54,6245.6
2,7,0,107,0,0,0,425,4,611.0,15,1,0,6,0,0,4,0,9,1,956.05
0,0,0,74,0,0,0,781,0,1658.0,19,0,0,13,0,0,0,0,8,0,363.81
0,1,0,50,0,0,0,535,0,562.0,12,0,0,22,0,0,0,0,23,0,88.78
2,22,0,27,0,0,0,172,20,892.0,9,1,0,8,0,0,20,0,1,2,1251.3
2,11,0,64,0,0,0,658,0,1586.0,6,0,0,14,1,0,0,0,9,1,357.04
8,21,0,85,4,2,0,216,56,10208.0,3,1,4,7,2,12,68,0,7,51,2519.1
0,0,0,9,0,0,0,267,0,485.0,10,0,0,19,0,0,0,0,16,0,152.14
2,6,0,73,0,0,0,398,24,1073.0,12,1,1,7,2,2,28,0,16,2,664.81
2,3,0,94,0,0,0,487,0,348.0,6,0,0,15,1,0,0,0,17,0,99.63
0,2,0,0,0,0,0,378,0,762.0,18,0,0,13,2,0,0,0,23,0,661.8
2,9,0,34,0,0,0,746,0,1135.0,17,0,0,9,0,0,0,0,8,1,516.13
0,15,0,35,0,0,0,337,4,5035.0,8,0,1,9,0,0,4,0,16,2,1183.91
9,15,1,52,4,0,0,348,138,2630.0,6,4,4,6,1,27,170,0,12,55,3027.24
10,10,0,24,0,0,0,326,0,2082.0,10,0,0,9,1,0,0,0,17,2,1218.52
2,4,0,81,0,0,0,499,0,607.0,7,0,0,15,0,0,0,0,18,0,377.39
0,1,0,66,0,0,0,622,0,315.0,10,0,0,17,0,0,0,0,21,0,280.68
0,1,0,33,0,0,0,389,0,668.0,15,0,0,9,0,0,0,0,18,1,206.6
0,1,0,32,0,0,0,636,0,1211.0,9,0,0,18,0,0,0,0,15,0,1029.14
2,13,0,107,0,0,0,409,381,25.0,13,0,0,3,1,1,385,0,9,14,1390.23
17,17,2,52,0,1,0,348,91,2630.0,7,4,5,6,1,13,119,4,13,65,3149.53
4,7,1,107,0,0,0,431,80,1701.0,13,1,5,5,2,0,80,0,7,9,1192.74
0,4,0,70,0,0,0,384,0,12.0,17,0,0,13,0,0,0,0,22,0,1625.73
0,3,0,32,0,0,0,625,0,90.0,6,0,0,16,0,0,0,0,13,1,912.76
1,2,0,82,0,0,0,609,0,28.0,8,0,0,17,0,0,0,0,20,0,179.55
0,3,0,31,0,0,0,651,0,1505.0,4,0,0,14,0,1,0,0,13,0,1218.54
2,3,0,51,0,0,0,624,0,918.0,5,0,0,15,0,1,0,0,12,0,368.39
7,15,0,75,0,0,0,203,8,3451.0,5,0,0,9,1,0,8,0,6,9,758.94
6,11,0,73,4,0,0,304,195,1190.0,11,2,3,5,0,1,219,4,14,12,816.68
1,2,0,39,0,0,0,560,0,24.0,7,0,0,15,0,0,0,0,19,0,698.17
4,10,0,81,0,0,0,531,0,2126.0,3,0,0,13,2,0,0,0,14,1,432.31
0,19,0,76,0,0,0,100,0,992.0,10,0,0,13,0,0,0,0,5,0,279.36
0,3,0,90,0,0,0,148,0,849.0,11,0,0,16,0,0,0,0,9,0,197.19
1,7,0,70,0,0,0,398,20,1073.0,12,2,1,7,2,2,24,0,16,4,1920.51
0,3,0,50,0,0,0,673,0,262.0,9,0,0,19,0,0,0,0,18,0,101.83
0,4,0,83,0,0,0,160,0,681.0,11,0,0,15,0,0,0,0,7,0,214.72
0,0,0,40,0,0,0,280,0,8.0,12,0,0,20,0,0,0,0,14,0,60.45
7,12,0,24,0,0,0,329,24,3341.0,10,3,0,8,1,2,24,0,16,5,1408.68
1,11,0,74,0,0,0,751,4,347.0,15,0,1,10,1,0,4,0,4,0,485.95
12,8,0,15,4,0,0,175,159,8422.0,10,4,1,5,0,1,179,0,4,17,2424.01
19,11,2,28,4,1,0,691,28,2987.0,2,0,2,9,2,4,36,0,12,28,2341.53
0,0,0,9,0,0,0,256,0,330.0,12,0,0,21,0,0,0,0,16,0,120.54
0,1,0,34,0,0,0,792,0,100.0,19,0,0,10,0,0,0,0,12,1,579.34
0,2,0,31,0,0,0,521,0,205.0,8,0,0,18,0,0,0,0,18,0,959.51
1,1,0,82,0,0,0,508,0,325.0,8,0,0,17,0,0,0,0,20,0,179.4
0,2,0,40,0,0,0,123,0,203.0,11,0,0,17,0,0,0,0,10,0,273.72
1,6,0,77,0,0,0,89,0,994.0,13,0,0,16,1,0,0,0,7,0,169.36
0,2,0,34,0,0,0,747,0,4.0,19,0,0,12,0,0,0,0,9,0,436.02
0,7,0,77,0,0,0,86,0,809.0,12,0,0,15,0,0,0,0,7,0,211.97
0,4,0,82,0,0,0,491,0,402.0,5,0,0,15,0,0,0,0,16,0,201.74
0,0,0,50,0,0,0,534,0,52.0,13,0,0,22,0,0,0,0,23,0,113.33
0,1,0,50,0,0,0,495,0,463.0,9,0,0,19,0,0,0,0,20,0,116.77
0,0,0,31,0,0,0,523,0,400.0,7,0,0,17,0,0,0,0,17,0,1281.15
0,0,0,9,0,0,0,282,0,648.0,11,0,0,20,0,0,0,0,14,0,173.11
3,3,0,39,0,0,0,40,0,21.0,11,0,1,13,0,0,0,0,20,0,746.23
0,3,0,51,0,0,0,625,0,90.0,6,0,0,16,0,0,0,0,13,1,351.84
0,2,0,31,0,0,0,686,0,539.0,8,0,0,18,1,0,0,0,17,0,899.37
0,0,0,40,0,0,0,280,0,8.0,12,0,0,20,0,0,0,0,14,0,173.26
0,9,0,39,0,0,0,555,0,596.0,7,0,0,12,0,0,0,0,17,0,748.92
0,4,0,31,0,0,0,650,0,1483.0,6,0,0,16,0,0,0,0,15,1,1026.93
0,1,0,40,0,0,0,126,0,1131.0,11,0,0,19,0,0,0,0,13,0,264.73
3,6,0,73,0,0,0,394,12,992.0,12,1,2,7,0,1,12,0,17,1,647.65
7,7,0,44,0,2,0,430,108,3952.0,13,3,3,5,2,0,112,0,6,10,1677.42
0,0,0,65,0,0,0,59,0,391.0,12,0,0,16,0,0,0,0,22,0,146.63
2,10,0,68,0,0,0,770,0,1821.0,17,0,0,9,0,0,0,0,8,1,669.17
