n_university_in_1km_to_2km,near_AEON_Mall_2_in_km,n_hospital_in_3km_to_5km,n_atm_in_1km,n_hotel_in_1km_to_2km,n_university_in_2km_to_3km,near_Phnom_Penh_Airport_in_km,n_borey_5km,n_cafe_5km,n_cafe_in_1km,address_line_2,n_bank_in_1km,n_university_in_3km_to_5km,n_hotel_in_1km,n_university_in_1km,n_pre_school_in_1km,nearest_atm,h_id,n_super_market_in_1km,near_Koh_Pich_in_km,n_hotel_in_2km_to_3km,n_hospital_in_2km_to_3km,near_AEON_Mall_3_in_km,n_hospital_in_1km,price_per_m2
47,4,9,38,8,31,7,26,189,7,-1,22,23,0,11,6,0,-1,2,4,47,47,8,10,4034.85
0,14,0,0,0,0,9,3,0,0,-1,0,0,0,0,0,0,-1,0,20,0,0,19,0,917.35
0,18,0,0,0,0,11,3,0,0,-1,0,0,0,0,0,0,-1,0,17,0,0,10,0,878.06
23,3,55,24,7,18,6,29,181,7,-1,0,31,0,25,6,0,-1,2,5,8,40,9,2,3331.12
0,14,0,0,0,0,8,20,5,0,-1,0,0,0,0,0,0,-1,0,12,0,0,6,0,557.44
0,22,0,0,0,0,14,0,0,0,-1,0,0,0,0,0,0,-1,0,24,0,0,18,0,142.58
0,12,0,0,0,0,7,23,7,0,-1,0,1,0,0,0,0,-1,0,12,0,0,7,0,358.64
29,3,52,24,5,19,6,28,184,5,-1,0,27,0,23,6,0,-1,3,5,8,43,9,1,3638.62
0,12,1,0,0,0,14,16,43,2,-1,0,3,0,0,0,0,-1,0,4,0,1,6,0,892.47
0,11,0,0,0,0,19,2,1,0,-1,0,0,0,0,0,0,-1,0,15,0,0,22,0,196.67
1,11,1,0,0,0,8,34,36,0,-1,0,8,0,0,1,0,-1,0,7,0,0,2,0,670.55
0,10,0,0,0,0,3,10,14,2,-1,0,1,0,0,0,0,-1,0,14,1,0,13,0,468.23
0,17,0,0,0,0,10,2,1,0,-1,0,0,0,0,0,0,-1,0,18,0,0,12,0,1163.23
0,6,0,0,0,0,9,4,6,0,-1,0,0,0,0,0,0,-1,0,14,0,0,19,0,928.17
0,10,0,0,0,0,6,5,3,0,-1,0,0,0,0,0,0,-1,0,17,0,0,17,0,339.72
2,3,11,0,0,1,10,19,67,0,-1,0,13,0,1,1,0,-1,0,8,0,0,14,0,1666.32
13,6,61,8,0,18,6,26,176,3,-1,0,72,0,4,3,8,-1,3,4,7,43,6,2,3069.7
0,10,0,0,0,0,8,2,0,0,-1,0,0,0,0,0,0,-1,0,18,0,0,19,0,677.87
0,15,0,0,0,0,12,13,12,0,-1,0,0,0,0,0,0,-1,0,10,0,0,2,0,488.6
0,17,0,0,0,0,13,11,3,0,-1,0,0,0,0,0,0,-1,0,13,0,0,6,0,230.3
0,13,0,0,0,0,7,3,0,0,-1,0,0,0,0,0,0,-1,0,19,0,0,18,0,1239.04
0,11,0,0,0,0,5,7,6,0,-1,0,1,0,0,0,0,-1,0,16,0,0,15,0,1083.14
0,18,0,0,0,0,11,1,1,0,-1,0,0,0,0,0,0,-1,0,19,0,0,13,0,362.94
12,5,84,4,1,41,5,30,165,4,-1,0,49,0,4,1,0,-1,2,5,3,14,7,0,3263.23
0,18,0,0,0,0,11,0,1,0,-1,0,0,0,0,0,0,-1,0,20,0,0,14,0,151.97
4,1,73,8,3,9,8,24,118,1,-1,0,71,0,2,1,0,-1,1,7,1,3,12,0,1508.87
0,11,0,0,0,0,18,2,1,0,-1,0,0,0,0,0,0,-1,0,14,0,0,22,0,180.46
0,9,0,0,0,0,6,6,2,0,-1,0,0,0,0,0,0,-1,0,16,0,0,17,0,356.47
0,12,0,0,0,0,12,0,1,0,-1,0,0,0,0,0,0,-1,0,20,0,0,23,0,208.89
11,7,25,32,15,14,9,27,166,11,-1,5,56,3,3,9,4,-1,9,2,37,51,6,5,5685.79
0,7,0,0,0,0,12,6,11,0,-1,0,0,0,0,0,0,-1,0,15,0,0,20,0,951.24
1,12,1,0,0,0,15,13,21,0,-1,0,1,0,0,0,0,-1,0,4,0,1,8,0,948.78
0,12,0,0,0,0,14,0,1,0,-1,0,0,0,0,0,0,-1,0,21,0,0,25,0,188.19
0,7,0,0,0,1,14,7,10,0,-1,0,2,0,0,0,0,-1,0,9,0,0,17,0,212.01
21,5,6,83,36,44,8,22,181,20,-1,34,36,4,5,9,20,-1,11,3,43,15,8,18,4877.81
31,4,13,16,4,35,7,26,191,10,-1,5,24,1,23,4,0,-1,3,4,42,48,8,9,4432.5
9,7,88,0,0,11,7,30,143,0,-1,0,73,0,0,1,0,-1,1,4,5,8,5,0,3390.46
0,14,0,0,0,0,7,4,6,0,-1,4,1,0,0,0,0,-1,0,17,0,0,14,0,1090.26
0,19,0,0,0,0,20,2,0,0,-1,0,0,0,0,0,0,-1,0,11,0,0,10,0,441.77
0,7,0,0,0,0,3,13,20,1,-1,0,5,0,0,0,0,-1,0,13,0,0,14,0,1245.23
11,4,13,162,34,45,9,16,178,11,-1,19,41,29,3,0,51,-1,14,3,14,20,9,23,8847.6
14,6,71,4,1,26,6,27,176,2,-1,0,65,0,2,1,8,-1,0,5,4,35,6,4,2990.39
0,16,0,0,0,0,10,2,1,0,-1,0,0,0,0,0,0,-1,0,22,0,0,20,0,95.18
0,19,0,0,0,0,20,1,0,0,-1,0,0,0,0,0,0,-1,0,10,0,0,10,0,388.11
44,4,15,20,3,35,6,26,189,9,-1,4,22,0,11,10,0,-1,4,4,32,46,8,9,4176.21
0,10,0,0,0,0,4,10,12,0,-1,0,1,0,0,0,0,-1,0,15,0,0,15,0,467.4
27,2,73,8,6,37,5,30,136,2,-1,0,31,0,8,3,0,-1,2,7,3,6,11,1,3893.54
1,9,67,0,5,5,12,19,114,4,-1,0,19,0,0,0,0,-1,2,1,9,13,7,0,2128.72
0,15,2,0,0,0,16,14,16,0,-1,0,1,0,0,0,0,-1,0,7,0,0,7,0,523.23
1,9,0,0,0,0,2,14,19,1,-1,0,0,1,0,0,0,-1,0,13,4,0,11,0,1601.08
9,5,30,76,42,10,10,13,157,6,-1,8,64,19,0,1,8,-1,4,3,13,54,10,2,2721.74
0,19,0,0,0,0,11,0,0,0,-1,0,0,0,0,0,0,-1,0,20,0,0,15,0,154.09
9,7,58,16,5,16,8,24,165,9,-1,0,69,1,3,8,8,-1,5,3,9,39,6,0,4802.57
0,11,0,0,0,1,8,34,20,0,-1,0,1,0,0,0,0,-1,0,8,0,0,2,0,603.34
0,6,1,0,0,0,2,14,30,1,-1,0,14,0,0,0,0,-1,0,12,4,0,13,0,2279.34
1,11,0,0,0,0,4,17,10,0,-1,0,0,1,0,0,0,-1,0,13,1,0,10,0,1599.52
7,7,84,0,0,9,6,34,126,1,-1,0,75,0,1,0,0,-1,0,5,1,3,5,0,2555.99
0,11,0,0,0,0,5,4,3,0,-1,0,0,0,0,0,0,-1,0,17,0,0,16,0,364.31
8,7,41,24,16,11,9,23,159,14,-1,9,55,2,3,10,8,-1,4,1,31,44,6,7,7242.52
0,15,0,0,0,0,8,2,4,0,-1,0,0,0,0,0,0,-1,0,17,0,0,13,0,923.36
0,14,0,0,0,0,10,20,12,1,-1,0,1,0,0,0,0,-1,0,10,0,0,2,0,481.59
0,9,0,0,0,0,3,11,13,0,-1,0,1,0,0,0,0,-1,0,15,0,0,14,0,412.38
0,7,8,0,4,7,2,37,58,1,-1,0,42,0,0,0,0,-1,0,9,4,1,8,0,2199.49
1,3,8,0,4,19,4,27,73,5,-1,0,52,0,0,0,0,-1,0,9,3,1,12,0,2687.78
0,19,0,0,0,0,20,1,0,0,-1,0,0,0,0,0,0,-1,0,11,0,0,10,0,341.34
0,9,0,0,0,0,5,10,4,0,-1,0,0,0,0,0,0,-1,0,15,0,0,16,0,365.14
0,15,0,0,0,0,23,1,0,0,-1,0,0,0,0,0,0,-1,0,17,0,0,25,0,174.44
0,7,4,0,0,1,2,38,51,3,-1,0,26,1,0,0,0,-1,0,9,8,0,8,0,2353.9
1,3,0,0,0,1,10,21,39,1,-1,0,5,0,0,2,0,-1,0,10,0,0,16,0,1302.11
0,12,0,0,0,1,8,34,17,0,-1,0,1,0,0,0,0,-1,0,8,0,0,2,0,519.7
0,20,0,0,0,0,13,0,0,0,-1,0,0,0,0,0,0,-1,0,22,0,0,16,0,188.06
0,18,0,0,0,0,11,2,0,0,-1,0,0,0,0,0,0,-1,0,17,0,0,10,0,306.58
1,3,31,4,0,5,10,20,87,2,-1,0,32,0,1,2,0,-1,0,7,1,0,14,0,1362.92
0,16,0,0,0,0,10,5,1,0,-1,0,0,0,0,0,0,-1,0,15,0,0,8,0,111.3
0,9,0,0,0,0,12,1,4,0,-1,0,0,0,0,0,0,-1,0,17,0,0,22,0,154.93
0,16,0,0,0,0,12,12,3,1,-1,0,0,0,0,0,0,-1,0,13,0,0,5,0,267.06
21,2,48,4,3,42,5,31,117,1,-1,0,25,1,2,1,4,-1,2,7,6,5,11,1,2962.81
0,6,5,0,3,3,0,20,38,1,-1,0,17,0,0,0,0,-1,0,11,3,0,11,0,2133.44
0,7,3,0,1,0,1,36,46,0,-1,0,26,1,0,0,0,-1,0,10,7,1,9,0,1985.91
0,13,0,0,0,0,9,25,13,1,-1,0,1,0,0,0,0,-1,0,9,0,0,2,0,487.93
0,12,0,0,1,1,5,6,7,0,-1,0,0,0,0,0,0,-1,0,15,0,0,12,0,455.83
0,3,0,0,0,0,9,17,27,0,-1,0,2,0,0,0,0,-1,0,11,0,0,17,0,1093.89
0,15,0,0,0,0,8,2,1,0,-1,0,0,0,0,0,0,-1,0,19,0,0,16,0,1101.44
0,8,0,0,0,0,2,15,19,0,-1,0,1,0,0,0,0,-1,0,13,3,0,13,0,1490.72
0,5,6,0,2,6,2,21,46,1,-1,0,21,0,0,1,0,-1,0,10,4,0,12,0,2262.95
0,11,14,0,0,0,12,16,65,0,-1,0,8,0,0,1,0,-1,0,3,1,1,5,1,791.69
0,13,0,0,0,0,7,3,3,0,-1,0,0,0,0,0,0,-1,0,18,0,0,16,0,1270.96
1,9,36,0,0,6,7,36,95,1,-1,0,21,0,1,0,0,-1,0,5,1,3,4,0,1880.32
0,8,1,0,3,1,1,17,24,0,-1,0,4,0,0,0,0,-1,0,12,1,0,12,0,534.12
0,4,0,0,0,0,10,17,24,1,-1,0,2,0,0,0,0,-1,0,12,0,0,17,0,1153.53
10,5,13,107,20,13,10,11,167,11,-1,6,62,27,3,2,83,-1,8,2,13,38,9,10,4852.55
18,3,31,12,4,34,6,28,196,6,-1,0,22,1,17,5,8,-1,2,5,19,50,9,6,4171.41
0,13,0,0,0,0,6,14,5,0,-1,0,1,0,0,0,0,-1,0,14,1,0,10,0,329.02
0,6,0,0,0,0,10,5,7,0,-1,0,0,0,0,0,0,-1,0,14,0,0,19,0,960.62
0,10,44,0,0,1,13,16,81,8,-1,0,14,0,0,0,0,-1,0,2,4,2,7,1,1790.78
0,20,0,0,0,0,13,0,0,0,-1,0,0,0,0,0,0,-1,0,23,0,0,18,0,190.29
0,17,0,0,0,0,10,4,1,0,-1,0,0,0,0,0,0,-1,0,16,0,0,10,0,639.03
1,10,56,0,1,4,12,18,100,5,-1,0,17,0,0,1,0,-1,0,1,8,7,6,0,1929.54
0,12,0,0,0,0,8,30,13,0,-1,0,1,0,0,0,0,-1,0,10,0,0,4,0,611.86
0,11,1,0,0,1,7,35,22,0,-1,0,3,0,0,1,0,-1,0,8,0,0,3,0,751.9
1,9,63,0,2,5,9,31,113,2,-1,0,28,0,0,1,0,-1,0,4,3,12,4,0,3152.8
43,2,46,12,3,23,7,23,178,7,-1,0,36,3,9,15,8,-1,5,5,21,50,10,1,3631.92
35,2,76,4,4,25,5,32,146,2,-1,0,31,1,6,2,4,-1,3,7,7,6,10,0,3141.32
0,17,0,0,0,0,11,2,1,0,-1,0,0,0,0,0,0,-1,0,18,0,0,12,0,321.82
0,14,0,0,0,0,9,23,5,0,-1,0,0,0,0,0,0,-1,0,12,0,0,5,0,565.48
1,9,36,0,1,2,9,31,96,0,-1,0,21,0,0,0,0,-1,0,4,2,0,3,0,2775.32
0,15,0,0,0,0,9,21,5,0,-1,0,0,0,0,0,0,-1,0,12,0,0,6,0,203.88
11,6,14,100,45,11,10,15,171,18,-1,7,57,23,6,12,8,-1,13,1,10,26,8,14,5202.82
0,19,0,0,0,0,22,2,0,0,-1,0,0,0,0,0,0,-1,0,11,0,0,12,0,481.27
0,16,0,0,0,0,8,1,2,0,-1,0,0,0,0,0,0,-1,0,18,0,0,14,0,160.74
13,6,74,8,0,23,6,26,174,2,-1,0,69,0,2,2,4,-1,0,5,5,31,6,4,3540.0
1,15,0,0,0,0,18,5,1,0,-1,0,0,0,0,0,0,-1,0,7,0,0,11,0,591.84
0,15,0,0,0,0,9,19,5,0,-1,0,0,0,0,0,0,-1,0,13,0,0,6,0,273.98
0,4,0,0,1,0,5,20,31,0,-1,0,8,0,0,0,0,-1,0,12,0,0,15,0,2239.26
0,10,0,0,0,0,6,7,4,0,-1,0,0,0,0,0,0,-1,0,16,0,0,17,0,473.3
4,9,75,0,8,5,11,19,126,4,-1,0,22,1,1,0,0,-1,1,1,13,22,6,1,2569.6
0,12,0,0,0,0,8,30,13,0,-1,0,1,0,0,0,0,-1,0,10,0,0,4,0,1121.31
0,15,0,0,0,0,12,12,13,0,-1,0,0,0,0,0,0,-1,0,10,0,0,2,0,422.95
0,9,1,0,0,0,4,35,28,0,-1,0,8,0,0,0,0,-1,0,9,1,1,6,0,1695.56
0,7,4,0,0,2,2,39,51,3,-1,0,28,1,0,0,0,-1,0,9,8,0,8,0,2005.41
0,14,0,0,0,0,21,3,1,0,-1,0,0,0,0,0,0,-1,0,19,0,0,26,0,629.85
1,12,3,0,0,0,15,12,25,0,-1,0,2,0,0,1,0,-1,0,4,0,0,8,0,958.68
11,5,55,0,4,42,4,33,127,5,-1,0,40,0,1,1,4,-1,3,7,2,8,8,0,3203.1
0,15,0,0,0,0,12,15,13,0,-1,0,0,0,0,0,0,-1,0,9,0,0,2,0,455.74
0,9,0,0,0,0,3,12,14,0,-1,0,1,0,0,0,0,-1,0,14,1,0,14,0,430.05
10,6,16,69,45,12,10,11,170,7,-1,0,57,21,2,8,4,-1,8,1,10,39,8,9,6145.03
0,16,0,0,0,0,9,1,2,0,-1,0,0,0,0,0,0,-1,0,18,0,0,14,0,155.79
0,6,0,0,0,0,2,14,23,2,-1,0,6,0,0,0,0,-1,0,12,1,0,13,0,601.04
0,11,0,0,1,1,4,24,12,1,-1,0,0,0,0,0,0,-1,0,12,0,0,9,0,1518.22
0,10,0,0,0,0,13,1,4,0,-1,0,0,0,0,0,0,-1,0,18,0,0,23,0,219.16
14,7,19,36,20,10,9,23,175,14,-1,10,58,6,4,12,24,-1,10,1,47,42,7,8,6102.4
48,4,18,51,25,23,8,22,194,9,-1,18,34,1,7,2,4,-1,6,4,49,23,9,13,2707.91
0,17,0,0,0,0,12,1,0,0,-1,0,0,0,0,0,0,-1,0,24,0,0,23,0,114.22
0,10,1,0,0,0,5,36,18,0,-1,0,6,0,0,0,0,-1,0,9,0,0,6,0,596.2
0,4,0,0,0,1,10,18,27,4,-1,0,3,0,0,0,0,-1,0,11,0,0,17,0,1223.35
0,14,0,0,0,0,8,3,1,0,-1,0,0,0,0,0,0,-1,0,20,0,0,18,0,909.89
0,3,1,0,1,1,5,25,39,1,-1,0,20,0,0,0,0,-1,0,11,2,0,14,0,2225.37
0,6,0,0,0,0,9,8,6,0,-1,0,0,0,0,0,0,-1,0,14,0,0,18,0,919.34
0,9,0,0,0,0,14,3,5,0,-1,0,0,0,0,0,0,-1,0,17,0,0,22,0,826.9
5,6,9,0,3,3,2,34,63,0,-1,0,55,2,0,1,0,-1,0,9,3,3,9,0,2217.9
0,13,0,0,0,0,11,1,1,0,-1,0,0,0,0,0,0,-1,0,21,0,0,22,0,190.41
0,2,0,0,0,1,9,25,42,3,-1,0,6,0,0,0,0,-1,0,10,0,0,16,0,934.78
0,12,0,0,0,0,12,0,1,0,-1,0,0,0,0,0,0,-1,0,20,0,0,23,0,233.53
0,7,0,0,0,0,4,13,17,0,-1,0,0,0,0,0,0,-1,0,14,0,0,15,0,541.73
16,6,8,88,50,32,8,21,183,17,-1,13,48,6,9,11,20,-1,14,2,27,19,7,31,5028.13
1,3,7,0,2,5,4,23,59,3,-1,0,35,0,0,0,0,-1,0,10,4,0,13,0,2679.94
0,18,0,0,0,0,15,9,4,0,-1,0,0,0,0,0,0,-1,0,12,0,0,5,0,208.72
0,1,24,4,1,28,6,27,94,6,-1,4,53,2,0,2,0,-1,1,8,5,2,12,0,3052.24
0,14,0,0,0,0,7,5,4,0,-1,0,1,0,0,0,0,-1,0,16,0,0,12,0,342.71
0,1,2,0,1,0,7,29,53,0,-1,0,44,0,0,0,0,-1,0,9,2,0,14,0,2639.81
0,6,0,0,0,1,13,12,15,0,-1,0,2,0,0,0,0,-1,0,11,1,0,18,0,1796.27
16,6,9,144,48,16,9,17,178,17,-1,25,57,25,3,7,40,-1,23,2,5,14,8,26,5636.36
0,17,0,0,0,0,10,1,1,0,-1,0,0,0,0,0,0,-1,0,18,0,0,13,0,231.52
0,9,0,0,2,1,2,14,19,2,-1,0,0,0,0,0,0,-1,0,13,2,0,12,0,1634.93
0,21,0,0,0,0,22,1,0,0,-1,0,0,0,0,0,0,-1,0,12,0,0,12,0,277.83
0,18,0,0,0,0,11,0,1,0,-1,0,0,0,0,0,0,-1,0,21,0,0,17,0,171.69
0,15,0,0,0,0,9,3,1,0,-1,0,0,0,0,0,0,-1,0,20,0,0,19,0,1010.45
0,13,0,0,0,0,6,14,5,0,-1,0,1,0,0,0,0,-1,0,14,1,0,10,0,363.28
1,9,78,4,3,12,9,24,134,7,-1,4,26,1,1,1,0,-1,1,3,10,15,5,0,2836.94
0,19,0,0,0,0,12,0,0,0,-1,0,0,0,0,0,0,-1,0,21,0,0,16,0,192.47
0,14,0,0,0,0,10,24,12,1,-1,0,1,0,0,0,0,-1,0,10,0,0,3,0,254.53
15,7,18,44,21,14,9,27,180,21,-1,16,57,6,4,15,20,-1,12,2,47,36,7,8,5038.38
0,19,0,0,0,0,12,2,0,0,-1,0,0,0,0,0,0,-1,0,18,0,0,12,0,258.84
4,8,81,8,2,9,8,30,143,4,-1,0,42,1,0,2,0,-1,2,3,5,16,4,0,4888.42
13,6,7,93,55,13,9,18,176,15,-1,19,56,11,7,11,24,-1,17,1,15,27,8,12,6241.43
1,12,0,0,0,0,4,15,7,0,-1,0,0,1,0,0,0,-1,0,14,1,0,10,0,1414.93
0,13,0,0,0,0,21,2,1,0,-1,0,0,0,0,0,0,-1,0,16,0,0,24,0,544.28
0,15,0,0,0,0,8,2,1,0,-1,0,0,0,0,0,0,-1,0,19,0,0,17,0,1099.62
41,3,24,38,19,20,7,22,195,10,-1,10,40,1,14,4,4,-1,5,4,51,33,10,8,4432.83
0,10,1,0,1,0,3,15,19,0,-1,0,0,1,0,0,0,-1,0,13,3,0,10,0,1741.17
0,10,0,0,0,0,6,7,4,0,-1,0,0,0,0,0,0,-1,0,16,0,0,17,0,479.83
0,13,0,0,0,0,8,3,0,0,-1,0,0,0,0,0,0,-1,0,19,0,0,18,0,907.25
0,1,6,0,1,1,6,28,61,1,-1,0,56,0,0,0,0,-1,0,9,3,0,14,0,2690.34
0,10,0,0,2,0,3,14,18,2,-1,0,0,0,1,0,0,-1,0,13,1,0,11,0,1253.36
7,2,75,8,1,4,9,20,119,0,-1,0,63,0,0,1,0,-1,0,6,9,9,12,0,1427.43
44,4,7,29,22,34,7,24,189,12,-1,2,28,1,5,2,36,-1,4,3,60,30,8,24,4133.52
0,16,0,0,0,0,9,2,1,0,-1,0,0,0,0,0,0,-1,0,18,0,0,13,0,1137.53
0,4,1,0,1,1,5,19,34,1,-1,0,8,0,0,0,0,-1,0,11,1,0,14,0,1133.34
0,9,1,0,0,0,5,35,30,0,-1,0,11,0,0,0,0,-1,0,9,1,1,6,0,1836.47
0,16,0,0,0,0,12,13,3,0,-1,0,0,0,0,0,0,-1,0,13,0,0,6,0,177.18
0,6,0,0,0,0,13,10,13,0,-1,0,0,0,0,0,0,-1,0,13,0,0,20,0,597.97
0,16,0,0,0,0,17,7,8,0,-1,0,0,0,0,0,0,-1,0,8,0,0,8,0,474.36
0,4,0,0,1,0,5,17,26,0,-1,0,3,0,0,0,0,-1,0,12,0,0,15,0,1059.2
0,17,0,0,0,0,11,6,1,0,-1,0,0,0,0,0,0,-1,0,15,0,0,8,0,68.37
0,13,0,0,0,0,9,26,10,0,-1,0,0,0,0,0,0,-1,0,11,0,0,4,0,262.63
0,16,0,0,0,0,8,1,2,0,-1,0,0,0,0,0,0,-1,0,18,0,0,14,0,162.44
0,12,0,0,0,0,6,22,6,0,-1,0,1,0,0,0,0,-1,0,13,1,0,8,0,361.56
0,11,0,0,1,0,3,15,14,2,-1,0,0,0,1,0,0,-1,0,13,1,0,10,0,1565.13
0,17,0,0,0,0,17,2,7,0,-1,0,0,0,0,0,0,-1,0,9,0,0,6,0,369.88
0,14,0,0,0,0,9,20,5,0,-1,0,0,0,0,0,0,-1,0,12,0,0,6,0,758.83
0,12,7,0,0,0,12,15,59,0,-1,0,4,0,0,0,0,-1,0,4,0,0,4,0,1567.86
0,15,2,0,0,0,17,12,5,0,-1,0,1,0,0,0,0,-1,0,7,0,0,8,0,548.0
0,15,0,0,0,0,13,0,1,0,-1,0,0,0,0,0,0,-1,0,23,0,0,24,0,186.91
0,11,0,0,0,0,18,3,1,0,-1,0,0,0,0,0,0,-1,0,14,0,0,22,0,177.77
0,13,0,0,0,0,10,2,0,0,-1,0,0,0,0,0,0,-1,0,20,0,0,21,0,228.09
0,6,0,0,0,0,2,17,27,1,-1,0,8,0,0,0,0,-1,0,12,3,0,13,0,1838.4
0,4,0,0,0,0,7,15,19,0,-1,0,1,0,0,0,0,-1,0,12,1,0,16,0,1076.57
30,4,13,16,5,35,7,26,191,11,-1,5,24,1,23,3,0,-1,3,4,44,47,8,10,4317.27
0,4,1,0,1,1,4,17,31,0,-1,0,8,0,0,0,0,-1,0,12,0,0,14,0,1054.05
0,14,0,0,0,0,8,17,3,0,-1,0,0,0,0,0,0,-1,0,13,0,0,8,0,272.85
0,9,0,0,0,0,13,2,6,1,-1,0,0,0,0,0,0,-1,0,17,0,0,22,0,1139.55
1,9,57,0,2,2,9,27,107,4,-1,0,24,0,0,0,0,-1,0,4,2,1,3,0,2410.07
0,18,0,0,0,0,11,2,1,0,-1,0,0,0,0,0,0,-1,0,17,0,0,11,0,240.12
3,4,6,0,4,12,2,32,73,4,-1,0,58,0,4,2,4,-1,0,9,3,5,10,0,2407.84
34,4,15,36,11,33,7,24,194,10,-1,13,25,1,20,3,4,-1,3,4,61,40,9,14,4650.88
39,5,52,12,0,35,6,31,182,5,-1,0,32,1,7,3,0,-1,1,5,8,41,8,1,3553.6
0,14,2,0,0,0,16,15,18,0,-1,0,1,0,0,0,0,-1,0,6,0,0,7,0,557.21
0,6,77,0,5,7,11,9,119,2,-1,0,40,0,1,2,0,-1,1,4,49,17,11,0,2320.29
0,9,0,0,0,0,16,5,3,0,-1,0,1,1,0,0,0,-1,0,12,0,0,20,0,190.24
0,15,0,0,0,0,12,11,7,0,-1,0,0,0,0,0,0,-1,0,11,0,0,3,0,552.21
0,12,0,0,0,0,9,3,0,0,-1,0,0,0,0,0,0,-1,0,19,0,0,20,0,175.43
0,12,0,0,1,1,5,9,7,0,-1,0,0,0,0,0,0,-1,0,15,0,0,11,0,423.08
0,17,0,0,0,0,11,5,1,0,-1,0,0,0,0,0,0,-1,0,15,0,0,8,0,244.7
1,1,10,0,0,4,8,25,78,4,-1,4,61,0,0,0,0,-1,0,8,2,0,14,0,1504.47
12,6,75,4,1,47,6,28,172,2,-1,0,44,0,4,2,4,-1,1,5,5,29,7,1,3277.46
0,8,0,0,1,0,15,5,4,0,-1,0,1,0,0,0,0,-1,0,11,0,0,19,0,190.31
0,7,0,0,0,0,12,5,7,0,-1,0,0,0,0,0,0,-1,0,15,0,0,20,0,236.54
25,1,82,16,2,32,7,26,154,10,-1,4,38,2,5,8,0,-1,5,6,6,13,11,0,3450.17
0,11,0,0,0,0,8,3,0,0,-1,0,0,0,0,0,0,-1,0,18,0,0,19,0,161.75
0,15,0,0,0,0,9,9,2,0,-1,0,0,0,0,0,0,-1,0,14,0,0,8,0,325.68
6,3,63,16,11,29,9,18,151,3,-1,0,58,1,2,0,4,-1,1,5,50,33,11,1,2408.81
0,14,0,0,0,0,7,3,4,0,-1,0,1,0,0,0,0,-1,0,17,0,0,13,0,1228.85
1,8,78,8,4,13,9,30,136,8,-1,0,33,0,1,1,0,-1,2,3,6,16,4,0,2896.82
34,2,69,12,4,28,7,24,161,5,-1,4,38,1,5,11,4,-1,4,6,10,30,11,1,4245.84
0,12,0,0,0,0,12,0,1,0,-1,0,0,0,0,0,0,-1,0,20,0,0,23,0,269.5
0,9,0,0,0,0,16,4,3,0,-1,0,0,0,0,0,0,-1,0,14,1,0,21,0,617.82
1,1,14,0,0,4,8,25,82,4,-1,4,61,0,0,0,0,-1,0,8,2,0,14,0,1314.64
12,6,11,75,53,11,9,16,172,20,-1,11,57,12,6,13,20,-1,14,1,14,28,8,12,8273.87
0,10,0,0,0,0,8,2,0,0,-1,0,0,0,0,0,0,-1,0,18,0,0,19,0,525.36
10,7,56,24,5,18,7,23,167,13,-1,0,68,0,3,8,4,-1,3,3,9,43,6,3,4588.06
0,11,14,0,0,0,13,16,66,2,-1,0,8,0,0,0,0,-1,0,3,2,0,5,0,1583.07
0,12,7,0,0,0,12,15,62,0,-1,0,4,0,0,0,0,-1,0,4,1,0,4,0,757.02
0,5,0,0,0,0,9,11,12,0,-1,0,0,0,0,0,0,-1,0,13,0,0,18,0,975.94
0,18,0,0,0,0,11,0,1,0,-1,0,0,0,0,0,0,-1,0,20,0,0,15,0,190.9
0,20,0,0,0,0,13,0,0,0,-1,0,0,0,0,0,0,-1,0,22,0,0,16,0,186.96
0,11,0,0,0,1,4,9,10,0,-1,0,0,0,0,0,0,-1,0,15,1,0,13,0,1400.91
1,9,0,0,3,0,2,14,19,2,-1,0,0,0,0,0,0,-1,0,13,1,0,12,0,1646.83
0,8,0,0,0,0,2,14,19,0,-1,0,1,0,0,0,0,-1,0,14,2,0,13,0,562.84
1,8,67,0,0,11,8,29,111,1,-1,0,33,0,0,1,0,-1,0,5,3,6,4,0,2583.06
0,15,0,0,0,0,22,3,0,0,-1,0,0,0,0,0,0,-1,0,20,0,0,27,0,514.88
1,15,0,0,0,0,18,7,2,0,-1,0,0,0,0,0,0,-1,0,7,0,0,10,0,463.7
0,12,0,0,0,1,4,6,7,0,-1,0,0,0,0,0,0,-1,0,15,2,0,13,0,1500.62
33,5,64,0,0,44,5,32,184,3,-1,0,31,1,4,4,4,-1,2,5,6,35,8,0,3384.39
0,14,0,0,0,0,8,22,5,0,-1,0,0,0,0,0,0,-1,0,12,0,0,6,0,636.21
0,14,0,0,0,0,9,3,0,0,-1,0,0,0,0,0,0,-1,0,20,0,0,20,0,100.4
14,5,73,4,1,52,6,28,175,2,-1,0,41,0,2,3,4,-1,1,5,7,32,7,1,3688.34
0,3,0,0,0,1,9,22,33,4,-1,0,6,0,0,0,0,-1,0,10,0,0,16,0,1234.17
0,2,2,0,0,3,9,23,60,0,-1,0,10,0,1,1,0,-1,0,9,0,0,15,0,1406.23
0,16,0,0,0,1,19,5,1,0,-1,0,0,0,0,0,0,-1,0,8,0,0,11,0,527.59
0,14,0,0,0,0,7,7,4,0,-1,0,1,0,0,0,0,-1,0,15,0,0,11,0,437.26
19,3,56,4,2,34,4,33,125,0,-1,0,31,1,11,1,4,-1,1,7,7,3,10,0,2779.0
