n_atm_in_1km,n_university_in_2km_to_3km,n_gas_station_in_1km,n_borey_in_3km_to_5km,near_Phnom_Penh_Airport_in_km,near_Phsar_kandal_in_km,n_cafe_in_1km,address_line_2,n_university_in_3km_to_5km,n_mart_in_1km,n_pre_school_in_1km,nearest_atm,h_id,n_super_market_in_1km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km,n_atm_5km,near_AEON_Mall_3_in_km,n_atm_in_1km_to_2km,n_hospital_in_1km,price_per_m2
0,0,0,8,11.03143001187984,12.947475015723564,0,62,0,0,0,0,106,0,0,0,0.0,4.042170472909463,0,0,198.17243560045125
12,13,7,15,7.951937219075423,3.975153746356345,8,91,67,2,6,4,472,5,76,441,563.0,5.033434203386396,40,0,3802.8630972601873
0,1,2,21,6.897660305196449,8.983426397290383,0,68,3,0,1,0,235,0,0,0,1.0,2.8305945834553303,0,0,749.9772190508769
0,0,0,4,7.064822683094126,15.034284135065764,0,74,0,0,0,0,506,0,0,0,6.0,17.783157039173847,0,0,263.7744973230789
0,0,0,1,9.117413082246472,17.99502549990651,0,9,0,0,0,0,272,0,0,0,7.0,13.899116993104055,0,0,137.83630600211393
0,0,0,1,11.941434026073347,20.871817166393463,0,59,0,0,0,0,620,0,0,0,0.0,22.87259242360147,0,0,101.14401541412276
0,0,1,11,14.918548489754528,10.263629770221993,1,28,0,0,0,0,760,0,0,4,0.0,4.052380217282002,0,0,663.7411952092515
0,0,0,6,10.922248725745488,15.094834891508524,0,80,0,0,0,0,89,0,0,0,3.0,6.15496728438083,0,0,134.12057331118464
0,0,0,1,18.02565096443376,13.930867422278482,0,0,0,0,0,0,823,0,0,0,0.0,22.90808189834606,0,0,307.8366627833307
0,0,1,5,7.909606204238714,14.985115736219536,1,57,1,0,0,0,142,0,0,0,0.0,9.879321550334009,0,0,295.2673578793714
0,0,0,5,18.134827750387792,11.770012748793013,0,67,0,0,0,0,756,0,0,0,1.0,8.092287425228655,0,0,52.20270173139578
40,45,13,21,7.021726792745196,2.060224625647718,11,89,34,11,5,8,443,6,321,68,643.0,6.974675306794212,208,17,5806.551864908512
0,0,0,4,15.853940170701968,13.209238955804064,0,0,0,0,0,0,391,0,0,0,0.0,22.13295400784011,0,0,351.9874551370281
0,0,0,2,18.015366741101868,13.11607441239929,0,0,0,0,0,0,385,0,0,0,0.0,23.144305795295335,0,0,725.6569906313885
0,0,0,4,6.913033752345243,16.00311488633919,0,44,1,0,0,0,669,0,0,0,5.0,12.065826341456802,0,0,319.68756436725505
0,0,0,11,6.060590086985417,10.01734563882551,0,34,2,0,0,0,575,0,0,4,8.0,15.87898783888368,0,0,1119.3011706354887
0,0,0,2,7.958201976942124,16.10170127463788,0,74,0,0,0,0,568,0,0,0,0.0,18.921609194242308,0,0,104.98523302742107
0,1,0,11,1.1357078208703792,10.83568588589842,0,74,4,0,0,0,708,0,0,4,15.0,12.016241651016262,0,0,512.7145921915876
0,0,0,1,8.935256869672921,18.01965155403624,0,75,0,0,0,0,516,0,0,0,0.0,19.87872217539532,0,0,168.34860960185688
0,3,2,21,8.916175442107257,5.092403596502269,2,11,24,0,0,0,187,0,20,185,221.0,3.131323016127468,12,0,1860.8851285529329
0,0,0,1,18.03890968291,12.956346650406967,0,27,0,0,0,0,389,0,0,0,0.0,21.832215177493985,0,0,74.02957553793276
0,0,0,4,5.054382235168026,15.109664487918794,0,82,0,0,0,0,498,0,0,0,4.0,15.87416910669194,0,0,261.9233497647847
0,1,1,28,2.063847114013205,8.81698172236036,0,24,21,0,0,0,729,0,0,12,0.0,9.018396648224147,0,0,3046.3886260424383
0,0,0,1,15.070575354838253,17.904656529603162,0,70,0,0,0,0,255,0,0,0,0.0,8.943501607980629,0,0,93.9943957888466
0,0,1,8,4.877026613447598,13.961937717053562,0,74,0,0,0,0,537,0,0,0,7.0,16.085387840514752,0,0,99.81340234458987
164,44,13,12,9.098348340630002,0.8904745096598994,23,42,38,17,8,79,461,13,112,72,663.0,8.979334572634794,226,37,5493.050065344482
0,0,0,3,6.022172072004502,14.88109831094416,0,26,1,0,0,0,632,0,0,0,0.0,11.968173417265335,0,0,1190.3491349341596
0,0,0,4,14.028557576581068,17.087546935647115,0,80,0,0,0,0,253,0,0,0,0.0,8.030446832289249,0,0,94.13788462029387
0,0,1,29,2.0155925845115004,8.869333877039518,0,15,24,0,0,0,729,0,0,20,24.0,9.006828419048045,0,0,2058.4065256630947
0,0,0,2,12.930943513787028,18.040860259981624,0,31,0,0,0,0,151,0,0,0,5.0,9.02215194016285,0,0,81.83324693917622
0,0,0,17,6.060352347076277,12.99504816828936,0,69,1,0,0,0,666,0,0,0,0.0,9.116870341368852,0,0,291.4765837633951
4,4,10,17,2.091357491523927,8.000785396497594,4,45,34,0,1,0,699,1,4,28,37.0,10.926996911510171,0,0,3359.5847249177777
8,38,10,19,4.889567097080952,5.12676985623105,2,45,31,2,3,0,467,2,48,328,400.0,10.992846352381914,16,1,2588.639508149574
65,31,4,21,7.953943705602926,2.10031800604777,12,94,53,14,11,8,449,11,224,96,641.0,7.129792028255913,252,22,6037.632720002375
0,0,0,1,8.956900290731532,17.714508189230163,0,59,0,0,0,0,516,0,0,0,9.0,19.91644946834205,0,0,120.48423438152408
0,0,0,1,8.866554824439056,18.078457068178025,0,43,0,0,0,0,513,0,0,0,3.0,19.9711007724438,0,0,57.39390318070417
0,0,0,4,8.988023525293112,15.960851337062936,0,60,0,0,0,0,140,0,0,0,0.0,10.992359728266454,0,0,652.9662592864788
0,0,0,2,19.080909732459805,10.00291783771371,0,28,1,0,0,0,806,0,0,0,0.0,11.145385982062368,0,0,280.51479408961046
0,0,0,1,12.060237075610758,15.128328889765706,0,58,0,0,0,0,21,0,0,0,0.0,20.893460523212305,0,0,195.89507452016397
0,0,0,3,7.850806918655606,14.983596869476704,0,60,0,0,0,0,142,0,0,0,2.0,10.112594180478908,0,0,985.1892679033476
0,0,1,3,4.971342995147809,15.05393955980469,0,26,1,0,0,0,659,0,0,0,0.0,13.16479108928923,0,0,641.5603513306339
0,0,2,16,3.9347035524962832,10.001482522519018,0,68,3,0,0,0,213,0,0,0,0.0,7.201853401453375,0,0,632.8929927235672
0,0,0,1,6.002419239875798,16.05227779264064,0,75,0,0,0,0,496,0,0,0,3.0,16.88673336388254,0,0,110.3215389935004
4,1,1,10,11.142310429458664,6.213477311576457,0,13,15,0,0,0,183,0,4,108,119.0,3.0205103540620217,0,0,1695.2334406759803
0,0,2,14,4.955899374400681,9.949825749115488,0,15,3,0,0,0,205,0,0,0,8.0,5.981668263996524,0,0,1559.7401266329634
0,2,1,13,10.00975680792097,4.888497869408273,5,13,19,0,0,0,179,0,28,161,194.0,4.205053923058393,8,0,2446.6043655489534
0,0,0,0,20.09886294797432,13.896386970577897,0,0,0,0,0,0,835,0,0,0,1.0,23.106979190963333,0,0,304.79601686510307
0,0,0,10,10.03811617371853,13.991294164426542,0,76,0,0,0,0,164,0,0,0,0.0,6.057444752852578,0,0,210.360161478915
0,0,3,7,2.9185266112998587,13.266730098444272,2,74,1,0,0,0,526,0,0,0,10.0,12.79148701410062,0,0,375.2516851135975
0,0,0,7,15.120520598661964,13.847739600077787,0,62,0,0,0,0,108,0,0,0,0.0,4.95795975758337,0,0,136.2963206906739
44,33,11,17,6.847770388526632,2.1820395832865254,11,77,25,6,4,4,462,2,291,120,648.0,8.877583926641506,202,14,4989.391940062184
0,0,0,0,11.986951234775058,15.947868853787586,0,58,0,0,0,0,58,0,0,0,0.0,22.10573035979464,0,0,27.97089666497523
0,0,0,0,15.873762317604246,22.18420987079656,0,58,0,0,0,0,77,0,0,0,6.0,26.873887148927757,0,0,108.8960660672511
0,0,0,2,7.804772140031448,15.125925080414866,0,75,0,0,0,0,568,0,0,0,4.0,19.113466730005538,0,0,87.55895148129925
0,0,0,9,7.98048332463203,10.80938372909976,0,34,0,0,0,0,587,0,0,0,8.0,17.14623337295836,0,0,647.5899827748011
0,0,1,13,5.903842342142491,13.994379468929267,0,57,1,0,0,0,660,0,0,0,0.0,9.929931500870572,0,0,379.2585013751592
4,1,0,8,11.031738278241743,4.810119883285935,1,13,17,0,0,0,178,0,16,150,161.0,4.145357226613686,0,0,1887.4297391249909
0,0,0,0,12.143040487262958,18.074746862115298,0,59,0,0,0,0,629,0,0,0,0.0,23.236899540102836,0,0,273.27568009857026
0,0,2,4,9.958136554799538,9.841671042538934,1,29,0,0,0,0,342,0,0,0,0.0,18.17157184780138,0,0,757.2190275455657
12,12,6,20,8.936665373716394,2.976213716135032,9,81,50,2,8,0,477,3,106,367,561.0,6.064155486603259,100,5,3377.6808070553334
9,33,2,15,8.981865300826271,0.840206268352412,2,88,57,6,0,16,459,0,191,164,634.0,11.0216860506879,253,6,1630.1285408212702
0,0,1,0,14.04064340173938,19.847598678961628,1,59,0,0,0,0,603,0,0,0,5.0,25.036125736460168,0,0,177.1726992626716
0,0,0,8,6.012284077049939,13.91234547709232,0,74,0,0,0,0,581,0,0,0,6.0,17.089591244514292,0,0,170.82518676925133
0,0,0,5,15.12372488442651,8.184545572697882,0,27,1,0,0,0,400,0,0,4,12.0,17.977433407962675,0,0,151.93535193190684
0,0,0,2,5.95533219535775,15.863183144025784,0,75,0,0,0,0,496,0,0,0,0.0,15.900156723996542,0,0,145.6033675314059
0,0,0,1,11.935109222727965,21.107002147554585,0,59,0,0,0,0,620,0,0,0,8.0,23.968167776263137,0,0,66.98320422157235
0,0,0,3,5.041965563459553,15.310976051113943,0,75,0,0,0,0,498,0,0,0,5.0,15.927413354302669,0,0,120.51170173186468
8,5,2,9,9.10798061800934,4.179580106971801,0,71,63,1,2,0,299,0,51,406,491.0,13.05916650334265,24,0,1389.2966379980824
0,0,0,15,5.810645980167719,12.388634257680442,0,68,1,0,0,0,215,0,0,0,4.0,6.8210398483586365,0,0,377.03262614549067
0,4,1,19,0.0299488104192765,8.91059596230871,4,24,16,0,0,0,702,0,4,8,27.0,10.947261695433877,0,0,2355.151211647866
0,0,0,0,15.011987654255227,19.96879869678367,0,58,0,0,0,0,57,0,0,0,0.0,24.874231640024256,0,0,170.88485876655753
0,1,0,4,13.953806183583652,8.213882875524433,0,27,2,0,0,0,394,0,0,8,0.0,16.992015089633846,0,0,100.7794670997998
0,0,1,12,9.989466832333957,10.895144606737672,1,23,1,0,0,0,93,0,0,0,0.0,2.0944011338448294,0,0,450.84011030529945
0,0,0,4,13.117528509218646,16.040998518392175,0,70,0,0,0,0,91,0,0,0,6.0,7.106876883218799,0,0,160.73308884900905
4,17,5,18,6.061413724547816,3.931581406037626,2,2,34,2,8,4,467,4,46,467,566.0,9.895581486664154,52,1,3017.459021852384
0,1,4,12,1.9812606934993204,11.996682980520076,2,74,0,0,0,0,708,0,0,4,7.0,11.953975319949496,0,0,682.6117356672414
0,0,0,11,14.916631201801122,10.018531709106954,1,28,0,0,0,0,760,0,0,4,2.0,5.210399120214461,0,0,387.6858971178637
0,12,9,27,2.164166913804955,6.88145075781775,3,86,56,0,2,4,743,0,16,56,79.0,10.084218223758782,4,0,1972.986532309574
0,12,1,23,1.725690012870189,7.097612137035973,0,86,61,0,1,0,726,0,8,56,81.0,8.937890181763647,8,0,2578.2458194922783
0,0,0,2,10.005515695034472,19.9081578158114,0,25,0,0,0,0,684,0,0,0,0.0,20.011293657722344,0,0,276.77271254804737
0,13,2,14,6.006776582708562,6.007240185877409,5,45,63,0,0,0,356,1,20,82,98.0,13.01268027306049,4,0,3082.2750866453343
0,0,0,11,5.941935721275904,9.839560543424176,0,34,2,0,0,0,575,0,0,4,0.0,16.00660384816707,0,0,654.3116315306835
0,0,0,1,8.01546495296891,17.018484964588648,0,75,0,0,0,0,515,0,0,0,1.0,19.92600299697602,0,0,64.9164019737778
0,0,0,2,11.033081661185268,21.19885901975065,0,43,0,0,0,0,547,0,0,0,1.0,20.82816899419665,0,0,25.92019582440235
0,5,5,13,8.104671925911632,5.962852672162095,2,30,47,0,1,0,324,1,16,91,107.0,14.047263942963315,0,0,1583.6986567063054
0,4,1,12,12.072510050996248,3.0288468800497204,1,16,23,1,0,0,419,1,64,443,525.0,7.0528465867001975,16,0,2080.164047978209
0,0,0,0,11.026568923983415,16.86423071909288,0,59,0,0,0,0,67,0,0,0,0.0,21.974967770850444,0,0,254.4233355729196
112,45,13,14,8.084409891815154,1.170563032116689,14,54,37,15,6,58,486,17,116,68,645.0,7.803918047744547,299,35,4944.107183053056
0,5,5,21,5.849476733517951,5.070732265041596,1,78,67,0,0,0,483,0,36,220,260.0,4.995947387968147,4,0,4011.443422167703
0,0,1,6,2.9437339347280744,13.09768287178413,0,15,0,0,0,0,646,0,0,0,2.0,11.902125901017603,0,0,605.0221645472407
0,4,1,10,4.801640338850852,7.86055157824955,1,78,13,0,0,0,222,0,0,48,53.0,4.833263192382435,0,0,3745.969692311922
0,0,0,2,11.907321854353397,15.069342734465302,0,73,0,0,0,0,17,0,0,0,0.0,21.064738283726143,0,0,189.7099469404012
0,1,0,7,13.944472817489592,8.825741270433458,1,63,2,0,0,0,373,0,0,4,2.0,18.11512389734944,0,0,1593.541082676492
4,23,5,22,4.039724070411813,6.009018079700693,4,45,42,1,1,0,740,1,24,129,159.0,9.950509352506812,8,0,3283.08980612301
47,34,12,20,7.034083747030749,2.013968626825175,7,94,30,12,6,0,443,3,306,118,666.0,7.95848326569064,178,14,5032.869061884936
0,0,0,8,14.986418462823409,6.75263195543638,0,93,1,0,0,0,774,0,0,4,9.0,5.913547104337936,0,0,583.3446926033157
0,0,1,17,10.039667221896634,10.27284127337886,1,17,1,0,0,0,96,0,0,0,2.0,0.9292637600561376,0,0,442.5718347558569
0,0,0,11,7.035762687304818,14.013805609024704,0,69,1,0,0,0,136,0,0,0,0.0,8.948013187724348,0,0,220.43269702735824
0,0,5,9,11.185182049457485,9.163417039583706,0,79,2,0,0,0,36,0,0,0,11.0,17.146222522077636,0,0,788.3419888040285
0,0,0,1,15.080614304732048,14.860427071314838,1,73,0,0,0,0,31,0,0,0,3.0,22.851761508313047,0,0,135.54560737288688
0,0,0,1,5.929503092861334,15.909936828782834,0,75,0,0,0,0,492,0,0,0,2.0,17.13252591858271,0,0,162.40868403089544
106,36,11,17,8.01311292293722,1.1487329601541731,16,54,43,14,7,45,486,18,104,68,642.0,8.039619396121035,326,27,6869.745106501431
0,8,0,24,8.046246424126357,5.034793163268423,0,13,31,0,0,0,188,0,36,239,290.0,4.020286499892606,20,0,2432.6970928539604
8,19,7,22,4.967410902528583,5.264138727400447,2,86,27,1,2,0,465,2,40,387,479.0,9.834447571330294,36,4,1801.508260088682
0,0,0,2,3.9745959635602746,10.809591263698255,0,34,6,0,0,0,720,0,0,4,0.0,13.809570775094386,0,0,1011.742799333872
0,0,0,8,15.814662944081126,7.911355396082386,0,28,0,0,0,0,433,0,0,0,0.0,7.9522126625956835,0,0,533.2467178544717
0,1,3,15,8.982843378923103,7.810749797369949,4,20,7,0,0,0,337,0,0,32,41.0,15.888176428813528,0,0,1516.9039606569886
0,0,0,0,9.986833562115216,19.75130884553538,0,9,0,0,0,0,271,0,0,0,10.0,15.98044770894042,0,0,89.23638953167152
0,0,1,12,5.03231392975581,12.741975338922032,0,15,0,0,0,0,679,0,0,0,5.0,9.832619162179858,0,0,992.3765196218716
0,20,2,10,4.047466601432775,7.093018557716244,3,45,52,1,2,0,358,0,12,64,84.0,12.020007789110323,8,0,3290.2828170936014
0,1,1,13,1.0327400804965188,11.022030428912888,0,24,4,0,0,0,708,0,0,4,8.0,10.986882988432418,0,0,2019.959317346444
0,0,0,1,23.026770206088397,14.99658322859273,0,67,0,0,0,0,750,0,0,0,0.0,12.905748749843651,0,0,128.32097912613133
0,37,15,19,5.07220628614383,4.774152369315245,7,86,51,0,2,0,450,0,32,345,411.0,6.975133618645435,28,0,2242.1562339515176
0,0,0,9,6.09244351288557,13.888907657551224,0,74,0,0,0,0,581,0,0,0,0.0,17.043411002435914,0,0,87.30146548889391
0,0,0,1,9.050687986012246,18.01470534798961,0,59,0,0,0,0,617,0,0,0,7.0,20.08932499976345,0,0,153.12597516220416
0,0,0,5,12.901916085916618,11.028860458888564,0,66,0,0,0,0,34,0,0,0,4.0,19.989955501426955,0,0,474.32992784618114
0,7,2,11,3.0955195518932483,8.000227487106242,2,45,37,0,1,0,715,0,8,32,37.0,12.177347845179543,0,0,2507.34493173691
0,0,0,10,10.05721270164673,14.237240445596562,0,72,0,0,0,0,164,0,0,0,-0.0,7.064372981872359,0,0,521.8201165760396
0,0,4,12,1.9846987401903589,11.85775182609893,3,15,0,0,0,0,652,0,0,0,0.0,10.908272875603307,0,0,1361.2269907795906
0,0,2,7,3.1098939994231976,11.918184352368726,1,24,1,0,0,0,723,0,0,4,2.0,13.910750597455694,0,0,1431.9981237312882
0,0,0,9,1.9855092653503177,11.003781626160515,0,74,7,0,0,0,723,0,0,4,0.0,13.023580958303608,0,0,523.7446989367743
0,0,2,12,6.028857101296821,14.04540574880018,1,57,1,0,0,0,660,0,0,0,11.0,9.989541280450172,0,0,439.4910694361722
0,0,0,9,3.891309831286584,12.987356341939936,0,74,0,0,0,0,534,0,0,0,0.0,15.125501744076482,0,0,328.189663496404
0,0,0,1,20.848234126181406,14.833039615642642,0,0,0,0,0,0,816,0,0,0,1.0,24.056253096108367,0,0,454.938339738925
0,0,0,6,12.09591650924669,7.899360740031066,1,63,2,0,0,0,401,0,0,8,10.0,17.114276263249792,0,0,2970.870271415231
0,0,0,2,12.019176179649037,17.16762018269253,0,31,0,0,0,0,148,0,0,0,0.0,10.082323427703235,0,0,21.70840965232348
0,0,0,2,22.11517539571466,17.07254039469096,0,0,0,0,0,0,815,0,0,0,12.0,26.19882269590444,0,0,329.3695364728691
0,3,0,13,12.977356388892836,3.1304589121065947,0,37,16,0,0,0,415,0,16,397,412.0,8.990361780910444,0,0,1780.5917002811705
0,0,0,6,7.8514868881849535,12.026479640667066,0,32,0,0,0,0,561,0,0,0,1.0,18.23184121136459,0,0,220.23831635873
0,0,0,0,12.04363738424407,21.95058314237268,0,43,0,0,0,0,550,0,0,0,0.0,20.88343327193212,0,0,59.85614173719188
0,0,0,1,10.878302166144712,18.885446020969187,0,33,0,0,0,0,127,0,0,0,0.0,13.034329665575576,0,0,155.9243515989042
0,0,3,7,13.054695782618174,7.980972333060549,1,67,0,0,0,0,202,1,4,0,9.0,3.852522596333195,0,0,470.16005701109583
0,0,0,14,8.98373959862559,13.085746883107362,0,68,0,0,0,0,244,0,0,0,1.0,6.038651016382235,0,0,162.30848775203214
56,13,8,18,9.0353605608204,1.8059855432319665,15,4,56,10,15,24,490,6,210,114,625.0,7.131466688832995,225,15,6370.079036753376
8,6,3,14,10.99428081647691,3.81059178924713,5,63,36,0,0,0,300,0,36,369,429.0,13.101778052036344,8,0,2361.090920951201
0,0,0,3,11.007770260860914,16.037246552927147,0,31,0,0,0,0,125,0,0,0,0.0,8.983687591742571,0,0,150.481353860955
0,0,0,17,9.068256709421062,13.234020048678556,0,69,0,0,0,0,160,0,0,0,0.0,6.22628425035603,0,0,64.26742415268419
0,0,0,2,9.06466546728198,17.756136425832274,0,60,0,0,0,0,289,0,0,0,16.0,13.118237362149763,0,0,457.2350018239521
0,1,0,6,13.952338962408048,6.869675189637485,0,63,2,0,0,0,399,0,0,12,10.0,16.979851711098874,0,0,2047.9578449595533
130,40,15,16,7.926696475331854,0.7982561559793033,18,35,36,10,3,55,461,16,124,80,668.0,8.991624151967988,272,32,2163.802992241208
0,1,0,23,8.029413053388529,8.962859090937311,0,23,1,0,0,0,235,0,0,0,0.0,2.8710507906435425,0,0,763.5877724728367
0,0,0,9,13.959936208534064,10.134713090635552,0,63,1,0,0,0,378,0,0,0,0.0,18.855898795469447,0,0,1861.1817570210571
0,0,0,6,17.895198971338278,11.106324204178303,0,28,1,0,0,0,752,0,0,0,0.0,7.9954026809919,0,0,176.95785064445667
0,0,0,2,16.099714098447222,11.042012580017666,0,67,0,0,0,0,258,0,0,0,6.0,6.093547050874725,0,0,91.44876871467284
0,0,2,11,4.907842259312933,12.932996535373634,0,74,0,0,0,0,536,0,0,0,1.0,16.16180303132367,0,0,340.0595779224361
4,11,5,18,9.0359520137792,4.107394567752386,7,48,27,1,1,0,475,1,64,383,471.0,5.032576997482383,28,0,3415.7579780997644
0,0,1,6,13.07352523207569,14.062707545610404,0,62,0,0,0,0,84,0,0,0,0.0,5.0522375716047545,0,0,165.5266528941001
0,0,0,2,7.953732206412609,18.97780118441382,0,25,0,0,0,0,683,0,0,0,0.0,18.13775423563129,0,0,185.9557782278376
0,0,0,8,4.061136856219493,11.980859066688891,0,32,0,0,0,0,584,0,0,0,4.0,14.996791618035983,0,0,633.860808837598
0,0,1,1,10.102803735351635,17.836765004973085,0,75,0,0,0,0,516,0,0,0,2.0,21.001498692235455,0,0,138.93629690323164
0,0,2,13,5.022730930540527,12.732802820422828,0,15,0,0,0,0,679,0,0,0,0.0,9.829268516526955,0,0,1298.9493860069365
0,0,0,8,5.9431310447445735,12.874174286184324,0,32,0,0,0,0,582,0,0,0,7.0,17.10922550358629,0,0,541.3095309136365
0,0,0,5,4.065297375533182,11.965904609260445,0,32,1,0,0,0,719,0,0,4,12.0,14.83282324118068,0,0,1062.829096481966
0,0,2,7,2.0645968076808376,12.03604843966218,2,15,0,0,0,0,648,0,0,0,5.0,11.956336272399165,0,0,1385.7261932477231
0,4,3,12,5.068230875911714,7.076982735444062,1,15,51,0,0,0,218,0,8,80,94.0,6.029174863367999,0,0,2425.249527068304
0,0,0,12,4.031980067206502,13.045368694641589,0,26,0,0,0,0,675,0,0,0,0.0,10.955813126854157,0,0,1002.8667194152226
0,0,0,10,7.032864265352168,11.940649767491369,0,68,0,0,0,0,242,0,0,0,0.0,6.069433841052378,0,0,469.6265088292954
0,0,2,9,1.1215517924665166,9.838697524667149,2,24,9,0,0,0,698,0,4,4,8.0,11.98337722573346,0,0,1710.4678345697714
8,12,12,24,8.862127259351213,3.96596813303404,9,48,45,3,3,4,471,4,92,394,548.0,4.913234637846157,44,0,3183.3650664430606
0,1,1,22,8.208973890940541,9.059516640094149,0,17,1,0,0,0,234,0,0,0,0.0,3.02408376024154,0,0,523.2456268589011
0,0,0,0,9.944647206615484,19.01075490420616,0,9,0,0,0,0,271,0,0,0,0.0,16.115322804032708,0,0,147.1915437284844
0,1,0,13,3.9512303208993855,12.017782366437004,0,15,0,0,0,0,678,0,0,0,1.0,9.112200947418067,0,0,1130.9210206469068
0,2,2,16,9.955314319647888,4.926742632405009,3,13,25,0,0,0,179,0,28,188,216.0,3.9201648138931215,8,0,1575.9907268587929
0,0,0,1,22.940034907369377,15.869751088095992,0,27,0,0,0,0,839,0,0,0,10.0,24.99837701657871,0,0,41.50988378538031
36,33,13,11,7.8011110057243505,1.8105168616125653,8,77,34,2,2,14,457,2,182,148,661.0,9.85465147819763,281,9,4331.56337629468
0,0,1,6,2.950328241015492,13.03427183297367,0,15,0,0,0,0,646,0,0,0,3.0,12.159755212061944,0,0,528.305569307794
0,0,0,4,12.951395146901527,16.758467551005165,0,31,0,0,0,0,153,0,0,0,0.0,8.121550481456033,0,0,133.98072205891916
0,0,2,4,11.013700016217038,12.103216366369631,1,64,0,0,0,0,33,0,0,0,4.0,19.011375520247256,0,0,1142.6797571154027
0,0,0,16,8.0118776824277,10.987424749060777,0,23,1,0,0,0,245,0,0,0,2.0,4.225524367639371,0,0,362.777871553064
0,12,2,16,3.0545410365020635,7.257774083851518,1,45,54,0,1,0,717,1,4,60,77.0,12.161149108101393,8,0,3733.0761837269297
32,38,9,17,8.026709922464468,2.0123070308536706,7,94,48,8,6,8,449,5,239,173,630.0,7.169604513910008,177,4,4173.78561354138
107,13,3,7,10.149523183502987,0.0309230302473008,18,77,64,14,3,129,317,13,96,116,644.0,8.893125375987843,197,16,2892.7758495243247
0,0,1,5,12.920662409798124,14.826074677460076,1,62,0,0,0,0,84,0,0,0,5.0,5.825278371614882,0,0,61.59573332663697
83,33,11,17,8.158297347737552,0.902994564420556,20,4,48,14,8,32,486,13,164,84,648.0,8.010310950361726,286,29,6120.294211462273
8,11,7,22,7.974006289179194,3.99272946389694,6,48,59,3,7,8,476,3,80,422,542.0,4.926174074045872,28,0,1811.972963452979
0,0,0,15,6.882318195170916,11.89622255465374,0,68,0,0,0,0,240,0,0,0,4.0,6.033107512254918,0,0,232.8659717574867
0,0,0,0,9.941385643944802,17.986594216577036,0,60,0,0,0,0,290,0,0,0,0.0,14.10113074370388,0,0,733.968714453648
0,0,1,0,9.95580076467455,17.99427251560055,0,59,0,0,0,0,617,0,0,0,0.0,20.915161063839367,0,0,118.47610616503243
0,0,0,5,13.824039702260489,7.971719251410001,1,63,2,0,0,0,399,0,0,8,0.0,16.909327679814798,0,0,1333.5900137046142
26,32,14,13,8.041055105687294,1.9440199888840697,13,88,40,6,5,4,460,6,331,195,640.0,10.992353009567518,85,1,2375.153308037889
32,35,7,19,8.048428325830534,2.075874873358171,12,38,51,9,7,8,449,8,260,132,637.0,7.275463153269886,201,9,5088.705711930967
0,0,0,9,7.05710703212216,10.824242043074548,0,32,0,0,0,0,587,0,0,0,0.0,17.13198968563206,0,0,380.0003000366648
0,0,0,8,12.988897315249842,9.708953050409278,0,63,2,0,0,0,376,0,0,0,6.0,19.05327184781708,0,0,1620.297168243359
12,38,6,17,6.027386395556885,2.894920780181366,10,51,22,10,6,4,446,4,295,236,658.0,7.929195087875523,110,8,2586.4268378886
8,2,2,15,11.013771480585437,3.056037131381892,1,22,42,0,0,0,304,0,46,403,475.0,12.893893518118343,16,0,3377.78248138849
0,0,0,7,7.957844495236277,14.005216962876656,0,57,0,0,0,0,134,0,0,0,0.0,8.862254852109759,0,0,97.4788494582256
0,5,5,10,10.116942863569378,4.0413690158607904,2,19,23,1,0,0,181,1,60,308,382.0,4.988894101031836,8,0,1542.1217855117875
0,10,1,23,2.140642621923379,6.860555858789447,1,86,50,0,0,0,725,0,4,48,53.0,7.8246191803790754,4,1,2280.7706900816206
188,18,4,10,9.12540718511689,0.2407237110180447,15,53,55,12,5,70,488,23,81,96,639.0,8.997307009913444,210,25,6601.028835631256
35,32,14,17,7.004543548281416,2.098377816863318,10,50,26,10,5,4,446,2,315,123,652.0,7.9875866554062975,180,13,2962.166082555682
0,0,0,11,6.955328316555702,12.924157503224617,0,68,1,0,0,0,135,0,0,0,0.0,8.067035881425817,0,0,227.69012299304308
0,2,1,20,6.0244828038697,8.089530642819179,3,23,8,0,1,0,247,0,0,24,20.0,4.0815575049283295,0,0,1797.9092902181678
0,5,4,7,1.77106517519123,8.864452891693617,2,34,18,0,0,0,700,0,0,12,27.0,12.168632248933395,4,0,1088.9779950137736
0,0,0,6,12.976550600842105,15.841822341898132,0,70,0,0,0,0,112,0,0,0,0.0,6.963340004635806,0,0,128.44014192042584
0,7,1,10,4.924449199721791,7.100324684096248,0,15,24,0,0,0,222,0,4,64,70.0,5.023165458997126,0,0,2499.4993654578097
0,0,0,0,13.02712753757814,19.0886611371161,0,59,0,0,0,0,68,0,0,0,0.0,22.6944008734942,0,0,98.67318695066714
4,14,1,14,6.106723800733004,6.117747504832948,2,45,62,0,0,0,356,1,20,82,105.0,12.938469825375655,0,0,2813.9260295017943
0,0,0,5,13.022014916598604,12.136691623702218,0,66,0,0,0,0,48,0,0,0,7.0,20.19473114527512,0,0,604.1560480644905
0,0,1,0,13.961802318318751,20.970149687275125,1,59,0,0,0,0,606,0,0,0,6.0,25.16798074632762,0,0,117.81283987557366
0,0,0,6,13.082349525439222,14.95875949774204,0,70,0,0,0,0,90,0,0,0,0.0,6.158630763763417,0,0,114.60006437997215
0,0,0,3,9.887476502126145,16.891556649548445,0,57,0,0,0,0,145,0,0,0,0.0,12.125787093617287,0,0,140.3610457905725
