address_line_2,nearest_cafe,nearest_mart,n_seven_eleven_in_1km,n_bank_in_1km,nearest_pre_school,nearest_secondary_school,nearest_primary_school,n_university_in_1km,nearest_seven_eleven,nearest_hotel,nearest_bank,Chroy_Changvar_Bridge_3_5km,Olympic_Stadium_1_2km,nearest_gas_station,Bassac_Lane_1_2km,Royal_Palace_1_2km,Koh_Pich_2_3km,Phsar_kandal_1_2km,Boeng_Keng_Kang_1_1_2km,f_footway,Sisowath_Riverside_Park_1_2km,Boeng_Keng_Kang_1_nearest,nearest_university,AEON_Mall_1_2_3km,Royal_Palace_nearest,Bassac_Lane_nearest,Olympic_Stadium_2_3km,AEON_Mall_1_1_2km,Phsar_Tmey_1_2km,Wat_Phnom_2_3km,Phnom_Penh_Airport_5_10km,Vattanac_Tower_2_3km,Russian_Market_2_3km,Phsar_Chas_2_3km,Phsar_Tmey_nearest,Vattanac_Tower_1_2km,f_tertiary,Phsar_Tmey_2_3km,Camko_City_3_5km,f_residential,Sisowath_Riverside_Park_2_3km,Wat_Phnom_3_5km,Phsar_Chas_nearest,Russian_Market_1_2km,Phsar_Chas_1_2km,Sisowath_Riverside_Park_3_5km,Chroy_Changvar_Bridge_2_3km,Phsar_kandal_2_3km,Russian_Market_3_5km,Koh_Pich_3_5km,Wat_Phnom_1_2km,Koh_Pich_1_2km,Boeng_Keng_Kang_1_2_3km,Bassac_Lane_2_3km,Royal_Palace_2_3km,f_service,Vattanac_Tower_nearest,Wat_Phnom_nearest,n_borey_in_1km_to_2km,price_per_m2
Phsar Kandal Ti Pir,4,15,4,29,0,0,3,2,2,34,17,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2,8830.18
Boeng Keng Kang Ti Muoy,4,7,4,7,1,1,1,8,0,0,28,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8055.53
Chakto Mukh,2,2,3,7,2,3,2,5,0,6,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,8250.42
Boeng Keng Kang Ti Muoy,11,5,3,28,7,2,2,5,0,3,7,1,1,1,0,0,0,1,0,0,1,1,2,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8532.94
Boeng Keng Kang Ti Muoy,8,6,0,7,5,3,1,4,1,3,28,1,1,2,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8858.08
Phsar Thmei Ti Muoy,12,2,3,44,2,2,1,3,1,6,9,0,1,6,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,2,8114.61
Boeng Keng Kang Ti Muoy,10,4,3,28,8,2,2,7,0,3,7,1,1,2,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,8012.24
Boeng Keng Kang Ti Muoy,8,7,0,1,5,3,1,3,1,3,34,1,1,2,0,0,1,1,0,0,1,1,3,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8548.91
Phsar Thmei Ti Muoy,6,1,4,53,0,4,1,5,1,2,39,0,0,3,0,1,0,1,1,1,1,0,3,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,2,8558.96
Boeng Keng Kang Ti Muoy,7,1,2,7,10,5,1,3,0,5,1,1,0,0,0,0,0,1,0,1,1,1,2,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8509.01
Phsar Thmei Ti Pir,12,2,2,24,2,1,1,2,2,6,30,0,1,6,0,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,2,8637.61
Boeng Keng Kang Ti Muoy,4,2,3,29,5,2,3,8,0,4,6,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8327.49
Boeng Keng Kang Ti Muoy,5,1,2,8,8,3,2,2,0,5,0,1,0,0,0,0,0,1,0,1,1,1,3,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8249.89
Boeng Keng Kang Ti Muoy,4,3,3,29,4,3,4,6,0,4,6,1,1,1,0,0,0,1,0,0,1,1,2,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8834.8
Phsar Thmei Ti Pir,11,2,3,23,2,2,1,3,1,4,31,0,1,6,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,2,8187.69
Boeng Keng Kang Ti Muoy,4,3,3,74,0,2,1,4,1,1,22,0,0,0,1,1,1,1,1,1,1,0,3,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,8073.14
Boeng Keng Kang Ti Muoy,3,5,3,34,4,7,3,5,0,4,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,8170.94
Boeng Keng Kang Ti Muoy,6,5,0,7,4,7,2,2,1,3,28,1,1,1,0,0,1,1,1,0,1,0,3,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8082.32
Boeng Keng Kang Ti Muoy,11,6,1,13,8,2,1,2,2,1,1,1,1,3,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,8547.26
Boeng Keng Kang Ti Muoy,11,4,3,1,3,2,1,5,0,1,34,1,1,2,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8077.72
Boeng Keng Kang Ti Muoy,6,1,2,7,10,5,1,3,0,5,1,1,0,0,0,0,0,1,0,1,1,1,2,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8106.61
Chakto Mukh,2,4,5,28,3,6,3,5,0,7,0,0,1,1,0,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,8232.9
Phsar Thmei Ti Pir,8,1,1,25,2,1,1,5,2,6,35,0,1,9,0,1,0,1,0,1,1,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,2,8635.23
Phsar Thmei Ti Pir,8,1,2,46,1,0,1,8,1,6,30,0,1,9,0,1,0,1,0,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,2,8354.82
Boeng Keng Kang Ti Muoy,3,2,1,35,4,3,4,7,0,4,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8039.71
Phsar Thmei Ti Pir,14,6,3,45,2,1,1,3,1,10,8,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,2,8262.19
Boeng Keng Kang Ti Muoy,10,4,3,28,7,3,2,4,0,3,7,1,1,2,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8315.29
Phsar Thmei Ti Muoy,9,1,2,23,1,0,1,8,2,7,37,0,1,9,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,2,8570.4
Phsar Thmei Ti Bei,6,1,2,40,2,5,3,6,1,0,50,0,0,5,1,1,0,1,1,0,1,0,2,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,8100.16
Chakto Mukh,11,5,3,28,7,3,2,4,0,3,7,1,1,2,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,8144.41
Phsar Kandal Ti Muoy,3,10,1,23,1,1,1,2,4,21,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,2,8325.54
Phsar Kandal Ti Pir,4,16,4,40,0,4,4,5,3,23,7,0,1,0,1,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,8089.28
Phsar Thmei Ti Pir,5,3,1,14,1,3,0,2,0,5,1,0,0,5,0,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,2,8766.22
Phsar Thmei Ti Muoy,7,1,4,53,2,4,1,4,1,1,39,0,0,4,0,1,0,1,1,1,1,0,4,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,2,8482.38
Boeng Keng Kang Ti Muoy,6,1,3,13,8,4,2,5,0,4,6,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8237.15
Phsar Thmei Ti Muoy,12,2,3,45,2,2,1,3,1,6,8,0,0,6,0,1,0,1,0,1,1,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,8392.33
Phsar Kandal Ti Pir,4,5,5,66,0,3,1,8,1,10,24,0,1,3,1,0,1,0,1,1,1,0,3,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2,8135.65
Phsar Thmei Ti Pir,12,1,3,18,2,1,1,1,2,5,36,0,1,9,0,1,0,1,0,1,1,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,2,8417.19
Boeng Keng Kang Ti Muoy,4,1,2,8,8,3,2,2,0,5,0,1,0,0,0,0,0,1,0,1,1,1,3,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8283.82
Phsar Kandal Ti Muoy,3,9,1,23,1,1,1,2,4,23,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,2,8250.05
Phsar Thmei Ti Muoy,4,16,2,30,1,3,3,6,4,33,16,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,8782.0
Boeng Keng Kang Ti Muoy,5,1,2,8,8,5,2,3,0,6,0,1,0,0,0,0,0,1,0,1,1,1,3,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8108.6
Phsar Thmei Ti Muoy,4,9,5,65,2,8,3,3,1,8,0,0,1,0,1,0,1,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,8088.88
Chakto Mukh,4,0,2,8,8,3,2,4,0,5,0,1,0,0,0,0,0,1,0,1,1,1,2,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8360.2
Phsar Kandal Ti Muoy,3,10,1,23,1,1,1,4,4,28,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,8738.4
Phsar Thmei Ti Pir,12,6,2,24,2,1,3,4,2,9,30,0,1,3,0,1,0,0,0,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,2,8737.02
Chakto Mukh,10,4,3,28,7,2,2,7,0,4,7,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8320.93
Phsar Kandal Ti Muoy,4,18,5,29,1,1,3,3,2,37,17,0,0,0,1,0,1,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,2,9819.09
Phsar Thmei Ti Bei,8,11,3,23,1,0,2,4,3,20,30,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,2,9689.58
Phsar Kandal Ti Muoy,7,14,4,29,0,0,2,4,2,23,17,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,2,9455.05
Phsar Thmei Ti Muoy,6,12,7,68,1,8,2,3,1,16,0,0,1,0,1,0,1,0,1,0,0,0,4,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,9790.05
Phsar Thmei Ti Pir,5,10,7,44,1,4,3,8,1,15,30,0,1,3,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,2,9900.47
Phsar Thmei Ti Muoy,11,6,2,24,2,1,3,4,2,9,30,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,2,9988.24
Phsar Thmei Ti Pir,8,6,4,40,1,2,2,8,2,10,30,0,1,4,1,0,0,0,1,1,1,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,2,9849.39
Phsar Thmei Ti Bei,7,14,6,68,1,8,2,3,1,17,0,0,1,0,1,0,1,0,1,0,0,0,4,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,9654.91
Phsar Kandal Ti Pir,4,4,5,59,0,2,1,8,1,10,31,0,1,3,1,0,1,0,1,1,1,0,3,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,9610.23
Phsar Thmei Ti Muoy,12,5,2,24,2,1,2,2,2,5,30,0,1,0,0,1,0,0,0,1,1,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,2,9514.99
Phsar Thmei Ti Muoy,7,6,4,50,0,3,1,7,2,11,24,0,1,3,1,0,1,0,1,1,1,0,3,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2,9819.35
Phsar Kandal Ti Pir,5,7,5,39,1,2,3,8,1,13,30,0,1,3,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,9713.23
Phsar Thmei Ti Muoy,8,11,1,36,1,0,1,3,3,17,17,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,2,9290.66
Phsar Thmei Ti Bei,8,8,0,1,3,1,1,2,1,2,34,1,1,2,0,0,1,1,0,0,1,1,3,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9839.12
Phsar Thmei Ti Bei,7,10,6,68,1,8,2,3,2,12,0,0,1,0,1,0,1,0,1,0,1,0,4,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,9568.89
Phsar Thmei Ti Muoy,13,3,2,24,2,1,2,1,2,5,30,0,1,9,0,1,0,0,0,1,1,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,2,9447.43
Phsar Thmei Ti Bei,5,13,2,23,1,1,3,4,4,34,16,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,9161.42
Phsar Kandal Ti Muoy,8,5,4,39,1,2,0,8,2,9,31,0,1,8,1,1,0,0,1,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,9125.27
Phsar Thmei Ti Pir,6,13,5,62,1,8,3,4,2,18,6,0,1,0,1,0,1,0,1,0,0,0,3,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,9447.36
Phsar Thmei Ti Bei,4,5,2,44,2,8,2,4,1,3,21,0,1,0,1,0,1,0,1,0,1,0,3,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9174.19
Phsar Thmei Ti Pir,4,19,4,23,0,1,3,6,3,34,23,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,2,9257.23
Phsar Kandal Ti Pir,7,14,3,29,1,0,2,4,3,23,23,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,2,9882.97
Phsar Thmei Ti Muoy,8,12,1,36,1,0,1,3,3,18,17,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,2,9200.3
Phsar Thmei Ti Bei,2,13,4,46,1,8,5,5,2,27,0,0,1,0,1,0,1,0,1,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,9727.95
Phsar Kandal Ti Muoy,4,5,5,59,0,3,1,8,1,10,31,0,1,3,1,0,1,0,1,1,1,0,3,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2,9212.1
Phsar Kandal Ti Muoy,2,14,2,46,1,5,3,5,4,30,0,0,0,0,1,0,1,0,1,1,0,0,2,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,9310.37
Phsar Thmei Ti Muoy,13,4,3,24,2,1,2,3,2,7,30,0,1,9,0,1,0,0,0,1,1,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,2,9405.68
Phsar Thmei Ti Pir,9,12,3,30,1,0,2,4,3,19,23,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,2,9906.02
Phsar Thmei Ti Pir,3,14,6,68,2,9,4,4,0,18,0,0,1,0,1,0,1,0,1,0,0,0,3,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,9461.34
Phsar Kandal Ti Muoy,8,5,4,39,1,2,0,8,2,9,31,0,1,8,1,1,0,0,1,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,9001.87
Phsar Thmei Ti Bei,5,6,5,51,0,5,3,7,1,13,23,0,1,3,1,0,1,0,1,1,1,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,9956.24
Phsar Thmei Ti Pir,5,18,4,24,0,1,3,6,3,33,23,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,9787.72
Phsar Kandal Ti Muoy,4,11,4,30,0,0,3,3,2,24,16,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,9277.88
Phsar Thmei Ti Muoy,5,13,5,62,1,8,3,4,2,19,6,0,1,0,1,0,1,0,1,0,0,0,3,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,9747.95
Phsar Thmei Ti Bei,2,13,7,68,1,8,4,5,0,18,0,0,1,0,1,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,9747.07
Phsar Thmei Ti Pir,11,10,2,23,1,0,2,4,4,14,30,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,2,9408.8
Phsar Thmei Ti Muoy,3,18,3,30,1,0,3,2,4,39,16,0,0,0,1,0,1,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,2,9313.88
Phsar Thmei Ti Muoy,14,5,4,24,2,1,2,4,2,10,30,0,1,9,0,1,0,0,0,1,1,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,2,9279.05
Phsar Kandal Ti Muoy,7,11,4,30,0,0,1,3,2,21,17,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,2,9319.84
Phsar Thmei Ti Muoy,2,18,5,30,1,3,3,5,2,38,16,0,0,0,1,0,1,0,1,1,0,0,2,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,9687.27
Phsar Thmei Ti Bei,4,18,4,23,1,1,3,3,3,39,23,0,0,0,1,0,1,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,2,10061.49
Phsar Thmei Ti Muoy,4,13,6,61,0,7,3,5,1,19,7,0,1,1,1,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,10092.15
Phsar Kandal Ti Muoy,7,12,7,23,1,1,2,7,1,15,30,0,1,3,1,0,1,0,0,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,2,10248.02
Phsar Thmei Ti Muoy,2,18,3,30,1,3,3,5,4,38,16,0,0,0,1,0,1,0,1,1,0,0,2,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,10003.07
Phsar Thmei Ti Bei,5,16,4,23,0,0,3,3,3,33,23,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2,10963.56
Phsar Thmei Ti Bei,5,6,5,43,1,3,3,8,1,10,31,0,1,3,1,0,1,0,1,1,1,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,10521.38
Phsar Kandal Ti Muoy,8,13,3,22,1,0,2,4,3,23,30,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,2,10358.1
Phsar Thmei Ti Pir,12,10,3,8,1,0,2,5,4,17,46,0,1,3,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,2,10768.05
